year,from_country,to_country,points,from_code2,from_code3,to_code2,to_code3,total_points,rank
1998,cyprus,netherlands,0,CY,CYP,NL,NLD,150,4.0
1998,cyprus,turkey,0,CY,CYP,TR,TUR,25,14.0
1998,cyprus,united kingdom,8,CY,CYP,GB,GBR,166,2.0
1998,estonia,belgium,6,EE,EST,BE,BEL,122,6.0
1998,estonia,croatia,3,EE,EST,HR,HRV,131,5.0
1998,estonia,cyprus,0,EE,EST,CY,CYP,37,11.0
1998,estonia,north macedonia,0,EE,EST,MK,MKD,16,19.0
1998,estonia,finland,10,EE,EST,FI,FIN,22,15.0
1998,estonia,france,0,EE,EST,FR,FRA,3,24.0
1998,estonia,germany,1,EE,EST,DE,DEU,86,7.0
1998,estonia,greece,0,EE,EST,GR,GRC,12,20.0
1998,estonia,hungary,0,EE,EST,HU,HUN,4,23.0
1998,estonia,ireland,2,EE,EST,IE,IRL,64,9.0
1998,estonia,israel,7,EE,EST,IL,ISR,172,1.0
1998,estonia,malta,5,EE,EST,MT,MLT,165,3.0
1998,estonia,norway,4,EE,EST,NO,NOR,79,8.0
1998,estonia,poland,0,EE,EST,PL,POL,19,17.0
1998,estonia,portugal,0,EE,EST,PT,PRT,36,13.0
1998,estonia,romania,0,EE,EST,RO,ROU,6,22.0
1998,estonia,slovakia,0,EE,EST,SK,SVK,8,21.0
1998,estonia,slovenia,0,EE,EST,SI,SVN,17,18.0
1998,estonia,spain,0,EE,EST,ES,ESP,21,16.0
1998,estonia,sweden,12,EE,EST,SE,SWE,53,10.0
1998,estonia,switzerland,0,EE,EST,CH,CHE,0,25.0
1998,estonia,netherlands,0,EE,EST,NL,NLD,150,4.0
1998,estonia,turkey,0,EE,EST,TR,TUR,25,14.0
1998,estonia,united kingdom,8,EE,EST,GB,GBR,166,2.0
1998,north macedonia,belgium,6,MK,MKD,BE,BEL,122,6.0
1998,north macedonia,croatia,12,MK,MKD,HR,HRV,131,5.0
1998,north macedonia,cyprus,0,MK,MKD,CY,CYP,37,11.0
1998,north macedonia,estonia,0,MK,MKD,EE,EST,36,12.0
1998,north macedonia,finland,1,MK,MKD,FI,FIN,22,15.0
1998,north macedonia,france,2,MK,MKD,FR,FRA,3,24.0
1998,north macedonia,germany,0,MK,MKD,DE,DEU,86,7.0
1998,north macedonia,greece,0,MK,MKD,GR,GRC,12,20.0
1998,north macedonia,hungary,0,MK,MKD,HU,HUN,4,23.0
1998,north macedonia,ireland,7,MK,MKD,IE,IRL,64,9.0
1998,north macedonia,israel,8,MK,MKD,IL,ISR,172,1.0
1998,north macedonia,malta,0,MK,MKD,MT,MLT,165,3.0
1998,north macedonia,norway,0,MK,MKD,NO,NOR,79,8.0
1998,north macedonia,poland,0,MK,MKD,PL,POL,19,17.0
1998,north macedonia,portugal,4,MK,MKD,PT,PRT,36,13.0
1998,north macedonia,romania,0,MK,MKD,RO,ROU,6,22.0
1998,north macedonia,slovakia,0,MK,MKD,SK,SVK,8,21.0
1998,north macedonia,slovenia,0,MK,MKD,SI,SVN,17,18.0
1998,north macedonia,spain,0,MK,MKD,ES,ESP,21,16.0
1998,north macedonia,sweden,0,MK,MKD,SE,SWE,53,10.0
1998,north macedonia,switzerland,0,MK,MKD,CH,CHE,0,25.0
1998,north macedonia,netherlands,3,MK,MKD,NL,NLD,150,4.0
1998,north macedonia,turkey,5,MK,MKD,TR,TUR,25,14.0
1998,north macedonia,united kingdom,10,MK,MKD,GB,GBR,166,2.0
1998,finland,belgium,0,FI,FIN,BE,BEL,122,6.0
1998,finland,croatia,3,FI,FIN,HR,HRV,131,5.0
1998,finland,cyprus,0,FI,FIN,CY,CYP,37,11.0
1998,finland,estonia,12,FI,FIN,EE,EST,36,12.0
1998,finland,north macedonia,0,FI,FIN,MK,MKD,16,19.0
1998,finland,france,0,FI,FIN,FR,FRA,3,24.0
1998,finland,germany,1,FI,FIN,DE,DEU,86,7.0
1998,finland,greece,0,FI,FIN,GR,GRC,12,20.0
1998,finland,hungary,0,FI,FIN,HU,HUN,4,23.0
1998,finland,ireland,0,FI,FIN,IE,IRL,64,9.0
1998,finland,israel,10,FI,FIN,IL,ISR,172,1.0
1998,finland,malta,5,FI,FIN,MT,MLT,165,3.0
1998,finland,norway,2,FI,FIN,NO,NOR,79,8.0
1998,finland,poland,0,FI,FIN,PL,POL,19,17.0
1998,finland,portugal,0,FI,FIN,PT,PRT,36,13.0
1998,finland,romania,0,FI,FIN,RO,ROU,6,22.0
1998,finland,slovakia,0,FI,FIN,SK,SVK,8,21.0
1998,finland,slovenia,4,FI,FIN,SI,SVN,17,18.0
1998,finland,spain,0,FI,FIN,ES,ESP,21,16.0
1998,finland,sweden,6,FI,FIN,SE,SWE,53,10.0
1998,finland,switzerland,0,FI,FIN,CH,CHE,0,25.0
1998,finland,netherlands,7,FI,FIN,NL,NLD,150,4.0
1998,finland,turkey,0,FI,FIN,TR,TUR,25,14.0
1998,finland,united kingdom,8,FI,FIN,GB,GBR,166,2.0
1998,france,belgium,7,FR,FRA,BE,BEL,122,6.0
1998,france,croatia,8,FR,FRA,HR,HRV,131,5.0
1998,france,cyprus,0,FR,FRA,CY,CYP,37,11.0
1998,france,estonia,0,FR,FRA,EE,EST,36,12.0
1998,france,north macedonia,0,FR,FRA,MK,MKD,16,19.0
1998,france,finland,0,FR,FRA,FI,FIN,22,15.0
1998,france,germany,0,FR,FRA,DE,DEU,86,7.0
1998,france,greece,0,FR,FRA,GR,GRC,12,20.0
1998,france,hungary,1,FR,FRA,HU,HUN,4,23.0
1998,france,ireland,0,FR,FRA,IE,IRL,64,9.0
1998,france,israel,12,FR,FRA,IL,ISR,172,1.0
1998,france,malta,6,FR,FRA,MT,MLT,165,3.0
1998,france,norway,0,FR,FRA,NO,NOR,79,8.0
1998,france,poland,2,FR,FRA,PL,POL,19,17.0
1998,france,portugal,10,FR,FRA,PT,PRT,36,13.0
1998,france,romania,0,FR,FRA,RO,ROU,6,22.0
1998,france,slovakia,0,FR,FRA,SK,SVK,8,21.0
1998,france,slovenia,0,FR,FRA,SI,SVN,17,18.0
1998,france,spain,4,FR,FRA,ES,ESP,21,16.0
1998,france,sweden,0,FR,FRA,SE,SWE,53,10.0
1998,france,switzerland,0,FR,FRA,CH,CHE,0,25.0
1998,france,netherlands,5,FR,FRA,NL,NLD,150,4.0
1998,france,turkey,0,FR,FRA,TR,TUR,25,14.0
1998,france,united kingdom,3,FR,FRA,GB,GBR,166,2.0
1998,germany,belgium,4,DE,DEU,BE,BEL,122,6.0
1998,germany,croatia,10,DE,DEU,HR,HRV,131,5.0
1998,germany,cyprus,0,DE,DEU,CY,CYP,37,11.0
1998,germany,estonia,0,DE,DEU,EE,EST,36,12.0
1998,germany,north macedonia,0,DE,DEU,MK,MKD,16,19.0
1998,germany,finland,0,DE,DEU,FI,FIN,22,15.0
1998,germany,france,0,DE,DEU,FR,FRA,3,24.0
1998,germany,greece,0,DE,DEU,GR,GRC,12,20.0
1998,germany,hungary,0,DE,DEU,HU,HUN,4,23.0
1998,germany,ireland,2,DE,DEU,IE,IRL,64,9.0
1998,germany,israel,7,DE,DEU,IL,ISR,172,1.0
1998,germany,malta,8,DE,DEU,MT,MLT,165,3.0
1998,germany,norway,3,DE,DEU,NO,NOR,79,8.0
1998,germany,poland,5,DE,DEU,PL,POL,19,17.0
1998,germany,portugal,0,DE,DEU,PT,PRT,36,13.0
1998,germany,romania,0,DE,DEU,RO,ROU,6,22.0
1998,germany,slovakia,0,DE,DEU,SK,SVK,8,21.0
1998,germany,slovenia,0,DE,DEU,SI,SVN,17,18.0
1998,germany,spain,0,DE,DEU,ES,ESP,21,16.0
1998,germany,sweden,0,DE,DEU,SE,SWE,53,10.0
1998,germany,switzerland,0,DE,DEU,CH,CHE,0,25.0
1998,germany,netherlands,6,DE,DEU,NL,NLD,150,4.0
1998,germany,turkey,12,DE,DEU,TR,TUR,25,14.0
1998,germany,united kingdom,1,DE,DEU,GB,GBR,166,2.0
1998,greece,belgium,4,GR,GRC,BE,BEL,122,6.0
1998,greece,croatia,5,GR,GRC,HR,HRV,131,5.0
1998,greece,cyprus,12,GR,GRC,CY,CYP,37,11.0
1998,greece,estonia,0,GR,GRC,EE,EST,36,12.0
1998,greece,north macedonia,0,GR,GRC,MK,MKD,16,19.0
1998,greece,finland,0,GR,GRC,FI,FIN,22,15.0
1998,greece,france,0,GR,GRC,FR,FRA,3,24.0
1998,greece,germany,3,GR,GRC,DE,DEU,86,7.0
1998,greece,hungary,0,GR,GRC,HU,HUN,4,23.0
1998,greece,ireland,0,GR,GRC,IE,IRL,64,9.0
1998,greece,israel,10,GR,GRC,IL,ISR,172,1.0
1998,greece,malta,6,GR,GRC,MT,MLT,165,3.0
1998,greece,norway,0,GR,GRC,NO,NOR,79,8.0
1998,greece,poland,0,GR,GRC,PL,POL,19,17.0
1998,greece,portugal,1,GR,GRC,PT,PRT,36,13.0
1998,greece,romania,0,GR,GRC,RO,ROU,6,22.0
1998,greece,slovakia,0,GR,GRC,SK,SVK,8,21.0
1998,greece,slovenia,2,GR,GRC,SI,SVN,17,18.0
1998,greece,spain,0,GR,GRC,ES,ESP,21,16.0
1998,greece,sweden,0,GR,GRC,SE,SWE,53,10.0
1998,greece,switzerland,0,GR,GRC,CH,CHE,0,25.0
1998,greece,netherlands,8,GR,GRC,NL,NLD,150,4.0
1998,greece,turkey,0,GR,GRC,TR,TUR,25,14.0
1998,greece,united kingdom,7,GR,GRC,GB,GBR,166,2.0
1998,hungary,belgium,3,HU,HUN,BE,BEL,122,6.0
1998,hungary,croatia,0,HU,HUN,HR,HRV,131,5.0
1998,hungary,cyprus,1,HU,HUN,CY,CYP,37,11.0
1998,hungary,estonia,4,HU,HUN,EE,EST,36,12.0
1998,hungary,north macedonia,0,HU,HUN,MK,MKD,16,19.0
1998,hungary,finland,0,HU,HUN,FI,FIN,22,15.0
1998,hungary,france,0,HU,HUN,FR,FRA,3,24.0
1998,hungary,germany,0,HU,HUN,DE,DEU,86,7.0
1998,hungary,greece,0,HU,HUN,GR,GRC,12,20.0
1998,hungary,ireland,6,HU,HUN,IE,IRL,64,9.0
1998,hungary,israel,0,HU,HUN,IL,ISR,172,1.0
1998,hungary,malta,7,HU,HUN,MT,MLT,165,3.0
1998,hungary,norway,5,HU,HUN,NO,NOR,79,8.0
1998,hungary,poland,2,HU,HUN,PL,POL,19,17.0
1998,hungary,portugal,0,HU,HUN,PT,PRT,36,13.0
1998,hungary,romania,0,HU,HUN,RO,ROU,6,22.0
1998,hungary,slovakia,0,HU,HUN,SK,SVK,8,21.0
1998,hungary,slovenia,0,HU,HUN,SI,SVN,17,18.0
1998,hungary,spain,0,HU,HUN,ES,ESP,21,16.0
1998,hungary,sweden,8,HU,HUN,SE,SWE,53,10.0
1998,hungary,switzerland,0,HU,HUN,CH,CHE,0,25.0
1998,hungary,netherlands,12,HU,HUN,NL,NLD,150,4.0
1998,hungary,turkey,0,HU,HUN,TR,TUR,25,14.0
1998,hungary,united kingdom,10,HU,HUN,GB,GBR,166,2.0
1998,ireland,belgium,7,IE,IRL,BE,BEL,122,6.0
1998,ireland,croatia,3,IE,IRL,HR,HRV,131,5.0
1998,ireland,cyprus,0,IE,IRL,CY,CYP,37,11.0
1998,ireland,estonia,1,IE,IRL,EE,EST,36,12.0
1998,ireland,north macedonia,0,IE,IRL,MK,MKD,16,19.0
1998,ireland,finland,0,IE,IRL,FI,FIN,22,15.0
1998,ireland,france,0,IE,IRL,FR,FRA,3,24.0
1998,ireland,germany,8,IE,IRL,DE,DEU,86,7.0
1998,ireland,greece,0,IE,IRL,GR,GRC,12,20.0
1998,ireland,hungary,0,IE,IRL,HU,HUN,4,23.0
1998,ireland,israel,6,IE,IRL,IL,ISR,172,1.0
1998,ireland,malta,12,IE,IRL,MT,MLT,165,3.0
1998,ireland,norway,4,IE,IRL,NO,NOR,79,8.0
1998,ireland,poland,0,IE,IRL,PL,POL,19,17.0
1998,ireland,portugal,0,IE,IRL,PT,PRT,36,13.0
1998,ireland,romania,0,IE,IRL,RO,ROU,6,22.0
1998,ireland,slovakia,0,IE,IRL,SK,SVK,8,21.0
1998,ireland,slovenia,0,IE,IRL,SI,SVN,17,18.0
1998,ireland,spain,0,IE,IRL,ES,ESP,21,16.0
1998,ireland,sweden,2,IE,IRL,SE,SWE,53,10.0
1998,ireland,switzerland,0,IE,IRL,CH,CHE,0,25.0
1998,ireland,netherlands,10,IE,IRL,NL,NLD,150,4.0
1998,ireland,turkey,0,IE,IRL,TR,TUR,25,14.0
1998,ireland,united kingdom,5,IE,IRL,GB,GBR,166,2.0
1998,israel,belgium,5,IL,ISR,BE,BEL,122,6.0
1998,israel,croatia,10,IL,ISR,HR,HRV,131,5.0
1998,israel,cyprus,1,IL,ISR,CY,CYP,37,11.0
1998,israel,estonia,0,IL,ISR,EE,EST,36,12.0
1998,israel,north macedonia,0,IL,ISR,MK,MKD,16,19.0
1998,israel,finland,0,IL,ISR,FI,FIN,22,15.0
1998,israel,france,0,IL,ISR,FR,FRA,3,24.0
1998,israel,germany,0,IL,ISR,DE,DEU,86,7.0
1998,israel,greece,0,IL,ISR,GR,GRC,12,20.0
1998,israel,hungary,0,IL,ISR,HU,HUN,4,23.0
1998,israel,ireland,0,IL,ISR,IE,IRL,64,9.0
1998,israel,malta,7,IL,ISR,MT,MLT,165,3.0
1998,israel,norway,4,IL,ISR,NO,NOR,79,8.0
1998,israel,poland,0,IL,ISR,PL,POL,19,17.0
1998,israel,portugal,2,IL,ISR,PT,PRT,36,13.0
1998,israel,romania,6,IL,ISR,RO,ROU,6,22.0
1998,israel,slovakia,0,IL,ISR,SK,SVK,8,21.0
1998,israel,slovenia,0,IL,ISR,SI,SVN,17,18.0
1998,israel,spain,3,IL,ISR,ES,ESP,21,16.0
1998,israel,sweden,0,IL,ISR,SE,SWE,53,10.0
1998,israel,switzerland,0,IL,ISR,CH,CHE,0,25.0
1998,israel,netherlands,8,IL,ISR,NL,NLD,150,4.0
1998,israel,turkey,0,IL,ISR,TR,TUR,25,14.0
1998,israel,united kingdom,12,IL,ISR,GB,GBR,166,2.0
1998,malta,belgium,3,MT,MLT,BE,BEL,122,6.0
1998,malta,croatia,10,MT,MLT,HR,HRV,131,5.0
1998,malta,cyprus,1,MT,MLT,CY,CYP,37,11.0
1998,malta,estonia,0,MT,MLT,EE,EST,36,12.0
1998,malta,north macedonia,0,MT,MLT,MK,MKD,16,19.0
1998,malta,finland,0,MT,MLT,FI,FIN,22,15.0
1998,malta,france,0,MT,MLT,FR,FRA,3,24.0
1998,malta,germany,0,MT,MLT,DE,DEU,86,7.0
1998,malta,greece,0,MT,MLT,GR,GRC,12,20.0
1998,malta,hungary,0,MT,MLT,HU,HUN,4,23.0
1998,malta,ireland,6,MT,MLT,IE,IRL,64,9.0
1998,malta,israel,12,MT,MLT,IL,ISR,172,1.0
1998,malta,norway,5,MT,MLT,NO,NOR,79,8.0
1998,malta,poland,0,MT,MLT,PL,POL,19,17.0
1998,malta,portugal,2,MT,MLT,PT,PRT,36,13.0
1998,malta,romania,0,MT,MLT,RO,ROU,6,22.0
1998,malta,slovakia,0,MT,MLT,SK,SVK,8,21.0
1998,malta,slovenia,0,MT,MLT,SI,SVN,17,18.0
1998,malta,spain,0,MT,MLT,ES,ESP,21,16.0
1998,malta,sweden,4,MT,MLT,SE,SWE,53,10.0
1998,malta,switzerland,0,MT,MLT,CH,CHE,0,25.0
1998,malta,netherlands,7,MT,MLT,NL,NLD,150,4.0
1998,malta,turkey,0,MT,MLT,TR,TUR,25,14.0
1998,malta,united kingdom,8,MT,MLT,GB,GBR,166,2.0
1998,norway,belgium,7,NO,NOR,BE,BEL,122,6.0
1998,norway,croatia,6,NO,NOR,HR,HRV,131,5.0
1998,norway,cyprus,0,NO,NOR,CY,CYP,37,11.0
1998,norway,estonia,0,NO,NOR,EE,EST,36,12.0
1998,norway,north macedonia,0,NO,NOR,MK,MKD,16,19.0
1998,norway,finland,1,NO,NOR,FI,FIN,22,15.0
1998,norway,france,0,NO,NOR,FR,FRA,3,24.0
1998,norway,germany,0,NO,NOR,DE,DEU,86,7.0
1998,norway,greece,0,NO,NOR,GR,GRC,12,20.0
1998,norway,hungary,2,NO,NOR,HU,HUN,4,23.0
1998,norway,ireland,4,NO,NOR,IE,IRL,64,9.0
1998,norway,israel,3,NO,NOR,IL,ISR,172,1.0
1998,norway,malta,12,NO,NOR,MT,MLT,165,3.0
1998,norway,poland,0,NO,NOR,PL,POL,19,17.0
1998,norway,portugal,0,NO,NOR,PT,PRT,36,13.0
1998,norway,romania,0,NO,NOR,RO,ROU,6,22.0
1998,norway,slovakia,0,NO,NOR,SK,SVK,8,21.0
1998,norway,slovenia,0,NO,NOR,SI,SVN,17,18.0
1998,norway,spain,0,NO,NOR,ES,ESP,21,16.0
1998,norway,sweden,10,NO,NOR,SE,SWE,53,10.0
1998,norway,switzerland,0,NO,NOR,CH,CHE,0,25.0
1998,norway,netherlands,8,NO,NOR,NL,NLD,150,4.0
1998,norway,turkey,0,NO,NOR,TR,TUR,25,14.0
1998,norway,united kingdom,5,NO,NOR,GB,GBR,166,2.0
1998,poland,belgium,12,PL,POL,BE,BEL,122,6.0
1998,poland,croatia,6,PL,POL,HR,HRV,131,5.0
1998,poland,cyprus,0,PL,POL,CY,CYP,37,11.0
1998,poland,estonia,1,PL,POL,EE,EST,36,12.0
1998,poland,north macedonia,0,PL,POL,MK,MKD,16,19.0
1998,poland,finland,0,PL,POL,FI,FIN,22,15.0
1998,poland,france,0,PL,POL,FR,FRA,3,24.0
1998,poland,germany,0,PL,POL,DE,DEU,86,7.0
1998,poland,greece,0,PL,POL,GR,GRC,12,20.0
1998,poland,hungary,0,PL,POL,HU,HUN,4,23.0
1998,poland,ireland,2,PL,POL,IE,IRL,64,9.0
1998,poland,israel,10,PL,POL,IL,ISR,172,1.0
1998,poland,malta,8,PL,POL,MT,MLT,165,3.0
1998,poland,norway,4,PL,POL,NO,NOR,79,8.0
1998,poland,portugal,0,PL,POL,PT,PRT,36,13.0
1998,poland,romania,0,PL,POL,RO,ROU,6,22.0
1998,poland,slovakia,0,PL,POL,SK,SVK,8,21.0
1998,poland,slovenia,0,PL,POL,SI,SVN,17,18.0
1998,poland,spain,0,PL,POL,ES,ESP,21,16.0
1998,poland,sweden,3,PL,POL,SE,SWE,53,10.0
1998,poland,switzerland,0,PL,POL,CH,CHE,0,25.0
1998,poland,netherlands,5,PL,POL,NL,NLD,150,4.0
1998,poland,turkey,0,PL,POL,TR,TUR,25,14.0
1998,poland,united kingdom,7,PL,POL,GB,GBR,166,2.0
1998,portugal,belgium,8,PT,PRT,BE,BEL,122,6.0
1998,portugal,croatia,2,PT,PRT,HR,HRV,131,5.0
1998,portugal,cyprus,4,PT,PRT,CY,CYP,37,11.0
1998,portugal,estonia,0,PT,PRT,EE,EST,36,12.0
1998,portugal,north macedonia,0,PT,PRT,MK,MKD,16,19.0
1998,portugal,finland,0,PT,PRT,FI,FIN,22,15.0
1998,portugal,france,0,PT,PRT,FR,FRA,3,24.0
1998,portugal,germany,10,PT,PRT,DE,DEU,86,7.0
1998,portugal,greece,0,PT,PRT,GR,GRC,12,20.0
1998,portugal,hungary,0,PT,PRT,HU,HUN,4,23.0
1998,portugal,ireland,1,PT,PRT,IE,IRL,64,9.0
1998,portugal,israel,12,PT,PRT,IL,ISR,172,1.0
1998,portugal,malta,5,PT,PRT,MT,MLT,165,3.0
1998,portugal,norway,3,PT,PRT,NO,NOR,79,8.0
1998,portugal,poland,0,PT,PRT,PL,POL,19,17.0
1998,portugal,romania,0,PT,PRT,RO,ROU,6,22.0
1998,portugal,slovakia,0,PT,PRT,SK,SVK,8,21.0
1998,portugal,slovenia,0,PT,PRT,SI,SVN,17,18.0
1998,portugal,spain,0,PT,PRT,ES,ESP,21,16.0
1998,portugal,sweden,0,PT,PRT,SE,SWE,53,10.0
1998,portugal,switzerland,0,PT,PRT,CH,CHE,0,25.0
1998,portugal,netherlands,7,PT,PRT,NL,NLD,150,4.0
1998,portugal,turkey,0,PT,PRT,TR,TUR,25,14.0
1998,portugal,united kingdom,6,PT,PRT,GB,GBR,166,2.0
1998,romania,belgium,0,RO,ROU,BE,BEL,122,6.0
1998,romania,croatia,0,RO,ROU,HR,HRV,131,5.0
1998,romania,cyprus,4,RO,ROU,CY,CYP,37,11.0
1998,romania,estonia,0,RO,ROU,EE,EST,36,12.0
1998,romania,north macedonia,3,RO,ROU,MK,MKD,16,19.0
1998,romania,finland,0,RO,ROU,FI,FIN,22,15.0
1998,romania,france,0,RO,ROU,FR,FRA,3,24.0
1998,romania,germany,6,RO,ROU,DE,DEU,86,7.0
1998,romania,greece,0,RO,ROU,GR,GRC,12,20.0
1998,romania,hungary,1,RO,ROU,HU,HUN,4,23.0
1998,romania,ireland,8,RO,ROU,IE,IRL,64,9.0
1998,romania,israel,7,RO,ROU,IL,ISR,172,1.0
1998,romania,malta,0,RO,ROU,MT,MLT,165,3.0
1998,romania,norway,0,RO,ROU,NO,NOR,79,8.0
1998,romania,poland,10,RO,ROU,PL,POL,19,17.0
1998,romania,portugal,0,RO,ROU,PT,PRT,36,13.0
1998,romania,slovakia,0,RO,ROU,SK,SVK,8,21.0
1998,romania,slovenia,5,RO,ROU,SI,SVN,17,18.0
1998,romania,spain,0,RO,ROU,ES,ESP,21,16.0
1998,romania,sweden,0,RO,ROU,SE,SWE,53,10.0
1998,romania,switzerland,0,RO,ROU,CH,CHE,0,25.0
1998,romania,netherlands,0,RO,ROU,NL,NLD,150,4.0
1998,romania,turkey,2,RO,ROU,TR,TUR,25,14.0
1998,romania,united kingdom,12,RO,ROU,GB,GBR,166,2.0
1998,slovakia,belgium,7,SK,SVK,BE,BEL,122,6.0
1998,slovakia,croatia,10,SK,SVK,HR,HRV,131,5.0
1998,slovakia,cyprus,5,SK,SVK,CY,CYP,37,11.0
1998,slovakia,estonia,8,SK,SVK,EE,EST,36,12.0
1998,slovakia,north macedonia,3,SK,SVK,MK,MKD,16,19.0
1998,slovakia,finland,0,SK,SVK,FI,FIN,22,15.0
1998,slovakia,france,0,SK,SVK,FR,FRA,3,24.0
1998,slovakia,germany,0,SK,SVK,DE,DEU,86,7.0
1998,slovakia,greece,0,SK,SVK,GR,GRC,12,20.0
1998,slovakia,hungary,0,SK,SVK,HU,HUN,4,23.0
1998,slovakia,ireland,4,SK,SVK,IE,IRL,64,9.0
1998,slovakia,israel,0,SK,SVK,IL,ISR,172,1.0
1998,slovakia,malta,12,SK,SVK,MT,MLT,165,3.0
1998,slovakia,norway,0,SK,SVK,NO,NOR,79,8.0
1998,slovakia,poland,0,SK,SVK,PL,POL,19,17.0
1998,slovakia,portugal,2,SK,SVK,PT,PRT,36,13.0
1998,slovakia,romania,0,SK,SVK,RO,ROU,6,22.0
1998,slovakia,slovenia,0,SK,SVK,SI,SVN,17,18.0
1998,slovakia,spain,0,SK,SVK,ES,ESP,21,16.0
1998,slovakia,sweden,0,SK,SVK,SE,SWE,53,10.0
1998,slovakia,switzerland,0,SK,SVK,CH,CHE,0,25.0
