year,from_country,to_country,points,from_code2,from_code3,to_code2,to_code3,total_points,rank
1998,belgium,croatia,5,BE,BEL,HR,HRV,131,5.0
1998,belgium,cyprus,2,BE,BEL,CY,CYP,37,11.0
1998,belgium,estonia,0,BE,BEL,EE,EST,36,12.0
1998,belgium,north macedonia,0,BE,BEL,MK,MKD,16,19.0
1998,belgium,finland,0,BE,BEL,FI,FIN,22,15.0
1998,belgium,france,0,BE,BEL,FR,FRA,3,24.0
1998,belgium,germany,7,BE,BEL,DE,DEU,86,7.0
1998,belgium,greece,0,BE,BEL,GR,GRC,12,20.0
1998,belgium,hungary,0,BE,BEL,HU,HUN,4,23.0
1998,belgium,ireland,0,BE,BEL,IE,IRL,64,9.0
1998,belgium,israel,10,BE,BEL,IL,ISR,172,1.0
1998,belgium,malta,8,BE,BEL,MT,MLT,165,3.0
1998,belgium,norway,4,BE,BEL,NO,NOR,79,8.0
1998,belgium,poland,0,BE,BEL,PL,POL,19,17.0
1998,belgium,portugal,1,BE,BEL,PT,PRT,36,13.0
1998,belgium,romania,0,BE,BEL,RO,ROU,6,22.0
1998,belgium,slovakia,0,BE,BEL,SK,SVK,8,21.0
1998,belgium,slovenia,0,BE,BEL,SI,SVN,17,18.0
1998,belgium,spain,3,BE,BEL,ES,ESP,21,16.0
1998,belgium,sweden,0,BE,BEL,SE,SWE,53,10.0
1998,belgium,switzerland,0,BE,BEL,CH,CHE,0,25.0
1998,belgium,netherlands,12,BE,BEL,NL,NLD,150,4.0
1998,belgium,turkey,0,BE,BEL,TR,TUR,25,14.0
1998,belgium,united kingdom,6,BE,BEL,GB,GBR,166,2.0
1998,croatia,belgium,0,HR,HRV,BE,BEL,122,6.0
1998,croatia,cyprus,4,HR,HRV,CY,CYP,37,11.0
1998,croatia,estonia,0,HR,HRV,EE,EST,36,12.0
1998,croatia,north macedonia,6,HR,HRV,MK,MKD,16,19.0
1998,croatia,finland,0,HR,HRV,FI,FIN,22,15.0
1998,croatia,france,0,HR,HRV,FR,FRA,3,24.0
1998,croatia,germany,0,HR,HRV,DE,DEU,86,7.0
1998,croatia,greece,0,HR,HRV,GR,GRC,12,20.0
1998,croatia,hungary,0,HR,HRV,HU,HUN,4,23.0
1998,croatia,ireland,2,HR,HRV,IE,IRL,64,9.0
1998,croatia,israel,0,HR,HRV,IL,ISR,172,1.0
1998,croatia,malta,7,HR,HRV,MT,MLT,165,3.0
1998,croatia,norway,0,HR,HRV,NO,NOR,79,8.0
1998,croatia,poland,0,HR,HRV,PL,POL,19,17.0
1998,croatia,portugal,0,HR,HRV,PT,PRT,36,13.0
1998,croatia,romania,0,HR,HRV,RO,ROU,6,22.0
1998,croatia,slovakia,8,HR,HRV,SK,SVK,8,21.0
1998,croatia,slovenia,3,HR,HRV,SI,SVN,17,18.0
1998,croatia,spain,1,HR,HRV,ES,ESP,21,16.0
1998,croatia,sweden,0,HR,HRV,SE,SWE,53,10.0
1998,croatia,switzerland,0,HR,HRV,CH,CHE,0,25.0
1998,croatia,netherlands,10,HR,HRV,NL,NLD,150,4.0
1998,croatia,turkey,5,HR,HRV,TR,TUR,25,14.0
1998,croatia,united kingdom,12,HR,HRV,GB,GBR,166,2.0
1998,cyprus,belgium,6,CY,CYP,BE,BEL,122,6.0
1998,cyprus,croatia,7,CY,CYP,HR,HRV,131,5.0
1998,cyprus,estonia,0,CY,CYP,EE,EST,36,12.0
1998,cyprus,north macedonia,0,CY,CYP,MK,MKD,16,19.0
1998,cyprus,finland,0,CY,CYP,FI,FIN,22,15.0
1998,cyprus,france,1,CY,CYP,FR,FRA,3,24.0
1998,cyprus,germany,0,CY,CYP,DE,DEU,86,7.0
1998,cyprus,greece,12,CY,CYP,GR,GRC,12,20.0
1998,cyprus,hungary,0,CY,CYP,HU,HUN,4,23.0
1998,cyprus,ireland,0,CY,CYP,IE,IRL,64,9.0
1998,cyprus,israel,10,CY,CYP,IL,ISR,172,1.0
1998,cyprus,malta,5,CY,CYP,MT,MLT,165,3.0
1998,cyprus,norway,3,CY,CYP,NO,NOR,79,8.0
1998,cyprus,poland,0,CY,CYP,PL,POL,19,17.0
1998,cyprus,portugal,2,CY,CYP,PT,PRT,36,13.0
1998,cyprus,romania,0,CY,CYP,RO,ROU,6,22.0
1998,cyprus,slovakia,0,CY,CYP,SK,SVK,8,21.0
1998,cyprus,slovenia,0,CY,CYP,SI,SVN,17,18.0
1998,cyprus,spain,4,CY,CYP,ES,ESP,21,16.0
1998,cyprus,sweden,0,CY,CYP,SE,SWE,53,10.0
1998,cyprus,switzerland,0,CY,CYP,CH,CHE,0,25.0
