year,Artist,from_country,to_country,points,total_points,rank,from_code2,from_code3,to_code2,to_code3,Official_languages,Language_sung,Contains_English,Contains_NonEnglish,Contains_Multiple_Languages,Number_of_Languages,Contains_Own_Language,Contains_Voting_Language,gender,migration_v2p,population_p,prop_emigrants_v2p,migration_p2v,population_v,prop_emigrants_p2v,migration_pop_year,comps_without_win,has_border,sf
2023,Alessandra,belgium,norway,,,5.0,BE,BEL,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,1890.0,5379475.0,0.0003513353998299,1195.0,11538604.0,0.0001035653879793,2020.0,12,False,sf1
2023,Alessandra,croatia,norway,,,5.0,HR,HRV,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,4897.0,5379475.0,0.0009103118798767,104.0,4047680.0,2.569373072970196e-05,2020.0,12,False,sf1
2023,Alessandra,cyprus,norway,,,5.0,CY,CYP,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,210.0,5379475.0,3.903726664776768e-05,196.0,1237537.0,0.0001583791030086,2020.0,12,False,sf1
2023,Alessandra,estonia,norway,,,5.0,EE,EST,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,4742.0,5379475.0,0.0008814986592557,458.0,1329522.0,0.0003444847095422,2020.0,12,False,sf1
2023,Alessandra,north macedonia,norway,,,5.0,MK,MKD,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,2932.0,5379475.0,0.0005450345991012,,,,,12,False,sf1
2023,Alessandra,finland,norway,,,5.0,FI,FIN,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,7182.0,5379475.0,0.0013350745193536,1852.0,5529543.0,0.0003349282210121,2020.0,12,True,sf1
2023,Alessandra,france,norway,,,5.0,FR,FRA,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,6676.0,5379475.0,0.0012410132959071,4653.0,67571107.0,6.886079282377304e-05,2020.0,12,False,sf1
2023,Alessandra,germany,norway,,,5.0,DE,DEU,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,28327.0,5379475.0,0.0052657554872919,9804.0,83160871.0,0.0001178919831178,2020.0,12,False,sf1
2023,Alessandra,greece,norway,,,5.0,GR,GRC,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,3352.0,5379475.0,0.0006231091323967,525.0,10698599.0,4.907184576223485e-05,2020.0,12,False,sf1
2023,Alessandra,hungary,norway,,,5.0,HU,HUN,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,3902.0,5379475.0,0.0007520322892059,1158.0,9843028.0,0.0001176467241584,2015.0,12,False,sf1
2023,Alessandra,ireland,norway,,,5.0,IE,IRL,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,True,female,1159.0,5379475.0,0.0002154485335464,347.0,4985382.0,6.960349277146666e-05,2020.0,12,False,sf1
2023,Alessandra,israel,norway,,,5.0,IL,ISR,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,889.0,5379475.0,0.0001652577621422,,,,,12,False,sf1
2023,Alessandra,malta,norway,,,5.0,MT,MLT,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,True,female,105.0,5379475.0,1.951863332388384e-05,196.0,515332.0,0.000380337335931,2020.0,12,False,sf1
2023,Alessandra,poland,norway,,,5.0,PL,POL,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,100479.0,5379475.0,0.0186782167404811,2014.0,37899070.0,5.314114567982803e-05,2020.0,12,False,sf1
2023,Alessandra,portugal,norway,,,5.0,PT,PRT,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,3536.0,5379475.0,0.00065731321365,378.0,10297081.0,3.670943250810594e-05,2020.0,12,False,sf1
2023,Alessandra,romania,norway,,,5.0,RO,ROU,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,14872.0,5379475.0,0.0027645820456457,1378.0,19265250.0,7.152775074291795e-05,2020.0,12,False,sf1
2023,Alessandra,slovakia,norway,,,5.0,SK,SVK,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,2025.0,5379475.0,0.000414173783638,563.0,5391428.0,0.0001044250243163,2010.0,12,False,sf1
2023,Alessandra,slovenia,norway,,,5.0,SI,SVN,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,438.0,5379475.0,8.142058472248686e-05,30.0,2102419.0,1.4269277437085568e-05,2020.0,12,False,sf1
2023,Alessandra,spain,norway,,,5.0,ES,ESP,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,7350.0,5379475.0,0.0013663043326718,15024.0,47365655.0,0.0003171918555755,2020.0,12,False,sf1
2023,Alessandra,sweden,norway,,,5.0,SE,SWE,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,48283.0,5379475.0,0.0089754111693055,42813.0,10353442.0,0.0041351465531945,2020.0,12,True,sf1
2023,Alessandra,switzerland,norway,,,5.0,CH,CHE,NO,NOR,norwegian sami languages,['english'],True,False,False,1,False,False,female,2427.0,5379475.0,0.0004511592674006,2243.0,8638167.0,0.0002596615694047,2020.0,12,False,sf1
