Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,10694796,16418912,19542982,24411191,28189672,33753499,38972230
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3187784,3089027,3011487,2913021,2880703,2837849
"Population, total",SP.POP.TOTL,Algeria,DZA,25518074,28478022,30774621,32956690,35856344,39543154,43451666
"Population, total",SP.POP.TOTL,American Samoa,ASM,47818,53401,58230,57254,54849,51368,46189
"Population, total",SP.POP.TOTL,Andorra,AND,53569,62928,66097,79826,71519,71746,77700
"Population, total",SP.POP.TOTL,Angola,AGO,11828638,13912253,16394062,19450959,23364185,28127721,33428486
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,63328,68398,75055,79869,85695,89941,92664
"Population, total",SP.POP.TOTL,Argentina,ARG,32637657,34946110,37070774,39070501,40788453,43131966,45376763
"Population, total",SP.POP.TOTL,Armenia,ARM,3556539,3322782,3168523,3047246,2946293,2878595,2805608
"Population, total",SP.POP.TOTL,Aruba,ABW,65712,77050,89101,94483,100341,104257,106585
"Population, total",SP.POP.TOTL,Australia,AUS,17065128,18004882,19028802,20176844,22031750,23815995,25655289
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,7948278,8011566,8227829,8363404,8642699,8916864
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,7684850,8048600,8391850,9054332,9649341,10093121
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,270679,299554,325014,347804,373272,392697,406471
"Population, total",SP.POP.TOTL,Bahrain,BHR,517418,612934,711442,901921,1213645,1362142,1477469
"Population, total",SP.POP.TOTL,Bangladesh,BGD,107147651,117793338,129193327,140912590,148391139,157830000,167420951
"Population, total",SP.POP.TOTL,Barbados,BRB,258868,262303,264657,269477,274711,278083,280693
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,10193831,9979610,9663915,9483836,9461076,9379952
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10136811,10251250,10478617,10895586,11274196,11538604
"Population, total",SP.POP.TOTL,Belize,BLZ,182589,203556,240406,280375,322106,359871,394921
"Population, total",SP.POP.TOTL,Benin,BEN,5133419,6046511,6998023,8149419,9445710,10932783,12643123
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,59746,61833,64154,65124,65237,63893
"Population, total",SP.POP.TOTL,Bhutan,BTN,558442,527536,587207,663323,705516,743274,772506
"Population, total",SP.POP.TOTL,Bolivia,BOL,7096194,7841471,8592656,9377388,10223270,11090085,11936162
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4494310,3750527,4179350,4094297,3811088,3524324,3318407
"Population, total",SP.POP.TOTL,Botswana,BWA,1341474,1543634,1726985,1892807,2091664,2305171,2546402
"Population, total",SP.POP.TOTL,Brazil,BRA,150706446,163515328,175873720,186797334,196353492,205188205,213196304
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,15617,17674,20104,23497,27556,29366,30910
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,261928,299097,333926,366717,396053,421437,441725
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8406067,8170172,7658972,7395599,7177991,6934015
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,9131361,10353263,11882888,13876127,16116845,18718019,21522626
"Population, total",SP.POP.TOTL,Burundi,BDI,5483793,5932783,6307659,7388874,9126605,10727148,12220227
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,364563,411382,458251,492827,521212,552166,582640
"Population, total",SP.POP.TOTL,Cambodia,KHM,8910808,10919528,12118841,13246583,14363532,15417523,16396860
"Population, total",SP.POP.TOTL,Cameroon,CMR,11430520,13211647,15091594,17275171,19878036,23012646,26491087
"Population, total",SP.POP.TOTL,Canada,CAN,27691138,29302311,30685730,32243753,34004889,35702908,38037204
