year,Artist,from_country,to_country,points,total_points,rank,from_code2,from_code3,to_code2,to_code3,Official_languages,Language_sung,Contains_English,Contains_NonEnglish,Contains_Multiple_Languages,Number_of_Languages,Contains_Own_Language,gender,migration_v2p,population_p,prop_emigrants_v2p,migration_p2v,population_v,prop_emigrants_p2v,migration_pop_year,comps_without_win,has_border,comp_round
2023,Gustaph,,belgium,,,7.0,,,BE,BEL,dutch french german,['english'],True,False,False,1,False,male,,11538604.0,,,,,,35,,sf2
2023,Andrew Lambrou,,cyprus,,,12.0,,,CY,CYP,greek turkish,['english'],True,False,False,1,False,male,,1237537.0,,,,,,66,,sf2
2023,Diljá,,iceland,,,,,,IS,ISL,icelandic icelandic sign language,['english'],True,False,False,1,False,female,,366463.0,,,,,,66,,sf2
2023,Victor Vernicos,,greece,,,,,,GR,GRC,greek,['english'],True,False,False,1,False,male,,10698599.0,,,,,,16,,sf2
2023,Blanka,,poland,,,19.0,,,PL,POL,polish,['english'],True,False,False,1,False,female,,37899070.0,,,,,,66,,sf2
2023,Joker Out,,slovenia,,,21.0,,,SI,SVN,slovenian slovene,['slovene'],False,True,False,1,True,group,,2063531.0,,,,,,67,,sf2
2023,Iru,,georgia,,,,,,GE,GEO,georgian,['english'],True,False,False,1,False,female,,3725276.0,,,,,,67,,sf2
2023,Piqued Jacks,,san marino,,,,,,SM,SMR,italian,['english'],True,False,False,1,False,group,,34007.0,,,,,,66,,sf2
2023,Teya and Salena,,austria,,,15.0,,,AT,AUT,german,['english'],True,False,False,1,False,group,,8642699.0,,,,,,8,,sf2
2023,Albina and Familja Kelmendi,,albania,,,22.0,,,AL,ALB,albanian,['albanian'],False,True,False,1,True,group,,,,,,,,66,,sf2
2023,Monika Linkytė,,lithuania,,,11.0,,,LT,LTU,samogitian lithuanian,['english'],True,False,False,1,False,female,,2794885.0,,,,,,66,,sf2
2023,Voyager,,australia,,,9.0,,,AU,AUS,none english has de facto status,['english'],True,False,False,1,True,group,,25655289.0,,,,,,66,,sf2
2023,La Zarra,,france,,,16.0,,,FR,FRA,breton corsican french,['french'],False,True,False,1,True,female,,67571107.0,,,,,,44,,f
2023,Lord of the Lost,,germany,,,26.0,,,DE,DEU,german,['english'],True,False,False,1,False,group,,83160871.0,,,,,,11,,f
2023,Marco Mengoni,,italy,,,4.0,,,IT,ITA,italian,['italian'],False,True,False,1,True,male,,59438851.0,,,,,,1,,f
2023,Blanca Paloma,,spain,,,17.0,,,ES,ESP,spanish,['spanish'],False,True,False,1,True,female,,47365655.0,,,,,,52,,f
2023,Tvorchi,,ukraine,,,6.0,,,UA,UKR,ukrainian,"['english', 'ukrainian']",True,True,True,2,True,group,,,,,,,,5,,f
2023,Mae Muller,,united kingdom,,,25.0,,,GB,GBR,none english has de facto status,['english'],True,False,False,1,True,female,,67081000.0,,,,,,24,,f
