areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesLFDOnlyBySpecimenDate,newCasesPCROnlyBySpecimenDate,newOnsDeathsByRegistrationDate,newPeopleVaccinatedFirstDoseByPublishDate
E12000001,North East,region,2022-08-03,2760,,,,
E12000001,North East,region,2022-08-02,0,225,37,,0
E12000001,North East,region,2022-08-01,0,349,110,,0
E12000001,North East,region,2022-07-31,0,301,72,,0
E12000001,North East,region,2022-07-30,0,230,58,,0
E12000001,North East,region,2022-07-29,0,244,80,,0
E12000001,North East,region,2022-07-28,0,285,93,,0
E12000001,North East,region,2022-07-27,3814,342,105,,0
E12000001,North East,region,2022-07-26,0,334,112,,0
E12000001,North East,region,2022-07-25,0,410,123,,0
E12000001,North East,region,2022-07-24,0,416,84,,0
E12000001,North East,region,2022-07-23,0,316,95,,0
E12000001,North East,region,2022-07-22,0,351,156,31,0
E12000001,North East,region,2022-07-21,0,434,141,,0
E12000001,North East,region,2022-07-20,5569,510,163,,0
E12000001,North East,region,2022-07-19,0,519,152,,0
E12000001,North East,region,2022-07-18,0,642,171,,0
E12000001,North East,region,2022-07-17,0,617,105,,0
E12000001,North East,region,2022-07-16,0,494,121,,0
E12000001,North East,region,2022-07-15,0,549,168,31,0
E12000001,North East,region,2022-07-14,0,660,172,,0
E12000001,North East,region,2022-07-13,7079,775,175,,0
E12000001,North East,region,2022-07-12,0,865,221,,0
E12000001,North East,region,2022-07-11,0,916,224,,0
E12000001,North East,region,2022-07-10,0,839,125,,0
E12000001,North East,region,2022-07-09,0,690,117,,0
E12000001,North East,region,2022-07-08,0,740,174,21,0
E12000001,North East,region,2022-07-07,0,781,193,,0
E12000001,North East,region,2022-07-06,5005,893,174,,0
E12000001,North East,region,2022-07-05,0,924,211,,0
E12000001,North East,region,2022-07-04,0,1032,194,,0
E12000001,North East,region,2022-07-03,0,885,126,,0
E12000001,North East,region,2022-07-02,0,671,134,,0
E12000001,North East,region,2022-07-01,810,706,150,16,0
E12000001,North East,region,2022-06-30,982,711,164,,0
E12000001,North East,region,2022-06-29,973,727,169,,0
E12000001,North East,region,2022-06-28,969,832,187,,0
E12000001,North East,region,2022-06-27,2395,775,173,,22
E12000001,North East,region,2022-06-26,0,797,97,,0
E12000001,North East,region,2022-06-25,0,584,111,,0
E12000001,North East,region,2022-06-24,794,624,186,15,0
E12000001,North East,region,2022-06-23,825,629,149,,0
E12000001,North East,region,2022-06-22,953,682,127,,0
E12000001,North East,region,2022-06-21,865,726,184,,0
E12000001,North East,region,2022-06-20,1792,713,166,,27
E12000001,North East,region,2022-06-19,0,655,79,,0
E12000001,North East,region,2022-06-18,0,438,74,,0
E12000001,North East,region,2022-06-17,637,513,98,21,0
E12000001,North East,region,2022-06-16,619,503,70,,0
E12000001,North East,region,2022-06-15,720,534,99,,18
E12000001,North East,region,2022-06-14,652,561,109,,0
E12000001,North East,region,2022-06-13,1441,572,118,,57
E12000001,North East,region,2022-06-12,0,499,72,,27
E12000001,North East,region,2022-06-11,0,362,46,,0
E12000001,North East,region,2022-06-10,489,348,87,16,0
E12000001,North East,region,2022-06-09,507,394,83,,0
E12000001,North East,region,2022-06-08,472,429,98,,0
E12000001,North East,region,2022-06-07,530,365,98,,0
E12000001,North East,region,2022-06-06,1375,431,78,,43
E12000001,North East,region,2022-06-05,0,360,51,,4
E12000001,North East,region,2022-06-04,0,253,34,,0
E12000001,North East,region,2022-06-03,0,215,41,11,0
E12000001,North East,region,2022-06-02,0,189,39,,0
E12000001,North East,region,2022-06-01,227,209,36,,0
E12000001,North East,region,2022-05-31,279,196,42,,0
E12000001,North East,region,2022-05-30,665,226,54,,83
E12000001,North East,region,2022-05-29,0,189,32,,42
E12000001,North East,region,2022-05-28,0,140,36,,0
E12000001,North East,region,2022-05-27,223,170,49,19,0
E12000001,North East,region,2022-05-26,268,176,54,,2
E12000001,North East,region,2022-05-25,293,232,45,,0
E12000001,North East,region,2022-05-24,346,223,42,,0
E12000001,North East,region,2022-05-23,760,257,49,,90
E12000001,North East,region,2022-05-22,0,253,50,,83
E12000001,North East,region,2022-05-21,0,164,32,,0
E12000001,North East,region,2022-05-20,348,181,69,26,0
E12000001,North East,region,2022-05-19,320,260,49,,83
E12000001,North East,region,2022-05-18,393,250,77,,10
E12000001,North East,region,2022-05-17,433,289,64,,0
E12000001,North East,region,2022-05-16,923,316,93,,97
E12000001,North East,region,2022-05-15,0,325,60,,199
E12000001,North East,region,2022-05-14,0,219,55,,0
E12000001,North East,region,2022-05-13,369,247,65,32,0
E12000001,North East,region,2022-05-12,397,268,56,,37
E12000001,North East,region,2022-05-11,463,306,59,,52
E12000001,North East,region,2022-05-10,510,382,80,,0
E12000001,North East,region,2022-05-09,1149,416,119,,102
E12000001,North East,region,2022-05-08,0,314,56,,150
E12000001,North East,region,2022-05-07,0,276,57,,0
E12000001,North East,region,2022-05-06,556,313,82,34,0
E12000001,North East,region,2022-05-05,610,384,96,,0
E12000001,North East,region,2022-05-04,838,443,120,,62
E12000001,North East,region,2022-05-03,1680,471,169,,65
E12000001,North East,region,2022-05-02,0,503,96,,209
E12000001,North East,region,2022-05-01,0,334,71,,0
E12000001,North East,region,2022-04-30,0,323,79,,0
E12000001,North East,region,2022-04-29,557,342,125,43,0
E12000001,North East,region,2022-04-28,584,388,136,,4
E12000001,North East,region,2022-04-27,1579,441,124,,49
E12000001,North East,region,2022-04-26,0,504,132,,0
E12000001,North East,region,2022-04-25,2190,589,179,,86
E12000001,North East,region,2022-04-24,0,631,135,,253
E12000001,North East,region,2022-04-23,0,482,128,,0
E12000001,North East,region,2022-04-22,856,547,182,60,0
E12000001,North East,region,2022-04-21,1045,655,217,,170
E12000001,North East,region,2022-04-20,1156,718,210,,0
E12000001,North East,region,2022-04-19,5099,859,244,,135
E12000001,North East,region,2022-04-18,0,897,173,,206
E12000001,North East,region,2022-04-17,0,796,139,,0
E12000001,North East,region,2022-04-16,0,747,180,,0
E12000001,North East,region,2022-04-15,0,735,181,50,0
E12000001,North East,region,2022-04-14,1468,867,235,,0
E12000001,North East,region,2022-04-13,1521,1081,263,,26
E12000001,North East,region,2022-04-12,1771,1108,289,,0
E12000001,North East,region,2022-04-11,3700,1229,357,,7328
E12000001,North East,region,2022-04-10,0,1079,192,,34
E12000001,North East,region,2022-04-09,0,931,227,,0
E12000001,North East,region,2022-04-08,1807,989,327,50,0
E12000001,North East,region,2022-04-07,2030,1276,365,,0
E12000001,North East,region,2022-04-06,2297,1468,419,,37
E12000001,North East,region,2022-04-05,2224,1611,510,,15
E12000001,North East,region,2022-04-04,5818,1648,517,,91
E12000001,North East,region,2022-04-03,0,1537,329,,74
E12000001,North East,region,2022-04-02,0,1138,372,,0
E12000001,North East,region,2022-04-01,3001,1176,794,34,0
E12000001,North East,region,2022-03-31,3022,1332,791,,0
E12000001,North East,region,2022-03-30,3852,1461,1423,,27
E12000001,North East,region,2022-03-29,2958,1509,1512,,137
E12000001,North East,region,2022-03-28,8202,1748,1837,,122
E12000001,North East,region,2022-03-27,0,1585,811,,41
E12000001,North East,region,2022-03-26,0,1163,940,,0
E12000001,North East,region,2022-03-25,2714,1206,1211,26,0
E12000001,North East,region,2022-03-24,3934,1357,1407,,11
E12000001,North East,region,2022-03-23,3767,1523,1569,,82
E12000001,North East,region,2022-03-22,2884,1704,1612,,102
E12000001,North East,region,2022-03-21,6823,1745,1625,,99
E12000001,North East,region,2022-03-20,0,1519,864,,192
E12000001,North East,region,2022-03-19,0,1094,726,,0
E12000001,North East,region,2022-03-18,2526,1022,977,20,0
E12000001,North East,region,2022-03-17,2752,1135,1059,,143
E12000001,North East,region,2022-03-16,2827,1282,1165,,115
E12000001,North East,region,2022-03-15,2232,1224,1123,,21
E12000001,North East,region,2022-03-14,5250,1274,1213,,91
E12000001,North East,region,2022-03-13,0,1112,625,,314
E12000001,North East,region,2022-03-12,0,844,576,,0
E12000001,North East,region,2022-03-11,1483,757,693,30,0
E12000001,North East,region,2022-03-10,1658,755,735,,86
E12000001,North East,region,2022-03-09,1610,766,726,,136
E12000001,North East,region,2022-03-08,1452,780,729,,48
E12000001,North East,region,2022-03-07,2825,738,680,,138
E12000001,North East,region,2022-03-06,0,598,354,,
E12000001,North East,region,2022-03-05,0,342,324,,
E12000001,North East,region,2022-03-04,1157,402,413,27,
E12000001,North East,region,2022-03-03,1033,452,502,,
E12000001,North East,region,2022-03-02,1162,466,545,,
E12000001,North East,region,2022-03-01,960,449,526,,
E12000001,North East,region,2022-02-28,2092,438,559,,
E12000001,North East,region,2022-02-27,0,409,298,,
E12000001,North East,region,2022-02-26,0,315,275,,
E12000001,North East,region,2022-02-25,801,281,347,35,
E12000001,North East,region,2022-02-24,930,342,355,,
E12000001,North East,region,2022-02-23,968,406,436,,
E12000001,North East,region,2022-02-22,915,397,433,,
E12000001,North East,region,2022-02-21,834,449,492,,
E12000001,North East,region,2022-02-20,889,429,301,,
E12000001,North East,region,2022-02-19,1091,365,312,,
E12000001,North East,region,2022-02-18,1330,434,451,54,
E12000001,North East,region,2022-02-17,1496,541,587,,
E12000001,North East,region,2022-02-16,1531,652,675,,
E12000001,North East,region,2022-02-15,1467,678,660,,
E12000001,North East,region,2022-02-14,1282,697,792,,
E12000001,North East,region,2022-02-13,1164,703,425,,
E12000001,North East,region,2022-02-12,1417,492,479,,
E12000001,North East,region,2022-02-11,1653,560,691,68,
E12000001,North East,region,2022-02-10,2055,639,728,,
E12000001,North East,region,2022-02-09,2141,819,876,,
E12000001,North East,region,2022-02-08,2211,910,1008,,
E12000001,North East,region,2022-02-07,1828,966,1099,,
E12000001,North East,region,2022-02-06,1793,974,647,,
E12000001,North East,region,2022-02-05,2246,702,760,,
E12000001,North East,region,2022-02-04,2806,869,1036,99,
E12000001,North East,region,2022-02-03,3311,1074,1237,,
E12000001,North East,region,2022-02-02,3582,1253,1364,,
E12000001,North East,region,2022-02-01,4716,1483,1493,,
E12000001,North East,region,2022-01-31,48651,1600,1728,,
E12000001,North East,region,2022-01-30,2203,1702,1041,,
E12000001,North East,region,2022-01-29,2818,1186,837,,
E12000001,North East,region,2022-01-28,3424,1303,1357,95,
E12000001,North East,region,2022-01-27,3860,1586,1737,,
E12000001,North East,region,2022-01-26,4415,1882,1987,,
E12000001,North East,region,2022-01-25,4234,2108,2197,,
E12000001,North East,region,2022-01-24,3726,2335,2452,,
E12000001,North East,region,2022-01-23,3545,2440,1502,,
E12000001,North East,region,2022-01-22,3814,1711,1463,,
E12000001,North East,region,2022-01-21,4847,1883,2075,82,
E12000001,North East,region,2022-01-20,5237,2226,2285,,
E12000001,North East,region,2022-01-19,5903,2513,2731,,
E12000001,North East,region,2022-01-18,5809,2779,2918,,
E12000001,North East,region,2022-01-17,4397,3205,3299,,
E12000001,North East,region,2022-01-16,4253,2885,1931,,
E12000001,North East,region,2022-01-15,4874,2019,1964,,
E12000001,North East,region,2022-01-14,5907,1955,2691,71,
E12000001,North East,region,2022-01-13,7450,2132,3042,,
E12000001,North East,region,2022-01-12,9987,2305,3455,,
E12000001,North East,region,2022-01-11,7634,1998,4338,,
E12000001,North East,region,2022-01-10,8200,1025,5667,,
E12000001,North East,region,2022-01-09,10167,731,3676,,
E12000001,North East,region,2022-01-08,7207,512,4189,,
E12000001,North East,region,2022-01-07,10162,577,6574,41,
E12000001,North East,region,2022-01-06,9997,725,9181,,
E12000001,North East,region,2022-01-05,9909,774,11722,,
E12000001,North East,region,2022-01-04,10252,725,13637,,
E12000001,North East,region,2022-01-03,7311,625,10213,,
E12000001,North East,region,2022-01-02,7474,385,7048,,
E12000001,North East,region,2022-01-01,10935,422,4081,,
E12000001,North East,region,2021-12-31,6991,843,7223,23,
E12000001,North East,region,2021-12-30,6250,1123,8084,,
E12000001,North East,region,2021-12-29,5247,1003,8576,,
E12000001,North East,region,2021-12-28,4339,418,6120,,
E12000001,North East,region,2021-12-27,3190,201,4965,,
E12000001,North East,region,2021-12-26,3505,184,3037,,
E12000001,North East,region,2021-12-25,3356,170,1513,,
E12000001,North East,region,2021-12-24,2942,148,3502,51,
E12000001,North East,region,2021-12-23,2795,121,3879,,
E12000001,North East,region,2021-12-22,2276,99,3552,,
E12000001,North East,region,2021-12-21,2322,64,2832,,
E12000001,North East,region,2021-12-20,1702,69,2465,,
E12000001,North East,region,2021-12-19,1502,51,1550,,
E12000001,North East,region,2021-12-18,1503,57,1472,,
E12000001,North East,region,2021-12-17,2513,54,1588,32,
E12000001,North East,region,2021-12-16,1754,58,1700,,
E12000001,North East,region,2021-12-15,1760,56,1843,,
E12000001,North East,region,2021-12-14,1391,43,1734,,
E12000001,North East,region,2021-12-13,1358,56,1749,,
E12000001,North East,region,2021-12-12,1212,37,1096,,
E12000001,North East,region,2021-12-11,1688,30,1057,,
E12000001,North East,region,2021-12-10,2042,31,1189,37,
E12000001,North East,region,2021-12-09,1496,45,1385,,
E12000001,North East,region,2021-12-08,1440,44,1469,,
E12000001,North East,region,2021-12-07,1413,25,1280,,
E12000001,North East,region,2021-12-06,1038,44,1512,,
E12000001,North East,region,2021-12-05,1437,25,987,,
E12000001,North East,region,2021-12-04,1489,22,969,,
E12000001,North East,region,2021-12-03,1691,26,1175,42,
E12000001,North East,region,2021-12-02,1038,31,1313,,
E12000001,North East,region,2021-12-01,1886,36,1494,,
E12000001,North East,region,2021-11-30,1610,33,1490,,
E12000001,North East,region,2021-11-29,1358,44,1520,,
E12000001,North East,region,2021-11-28,1251,42,1157,,
E12000001,North East,region,2021-11-27,1209,33,600,,
E12000001,North East,region,2021-11-26,1663,38,1113,34,
E12000001,North East,region,2021-11-25,1112,43,1282,,
E12000001,North East,region,2021-11-24,1720,41,1374,,
E12000001,North East,region,2021-11-23,2146,19,1462,,
E12000001,North East,region,2021-11-22,1635,37,1578,,
E12000001,North East,region,2021-11-21,1255,25,980,,
E12000001,North East,region,2021-11-20,1502,27,1020,,
E12000001,North East,region,2021-11-19,1556,34,1216,49,
E12000001,North East,region,2021-11-18,1554,64,1340,,
E12000001,North East,region,2021-11-17,1501,44,1486,,
E12000001,North East,region,2021-11-16,1131,28,1387,,
E12000001,North East,region,2021-11-15,1385,46,1442,,
E12000001,North East,region,2021-11-14,1504,51,944,,
E12000001,North East,region,2021-11-13,1481,38,1003,,
E12000001,North East,region,2021-11-12,1540,17,1212,64,
E12000001,North East,region,2021-11-11,1558,43,1281,,
E12000001,North East,region,2021-11-10,1586,41,1377,,
E12000001,North East,region,2021-11-09,1566,38,1358,,
E12000001,North East,region,2021-11-08,1099,67,1499,,
E12000001,North East,region,2021-11-07,1222,49,977,,
E12000001,North East,region,2021-11-06,1323,42,971,,
E12000001,North East,region,2021-11-05,1672,25,1112,64,
E12000001,North East,region,2021-11-04,1531,33,1186,,
E12000001,North East,region,2021-11-03,1616,38,1381,,
E12000001,North East,region,2021-11-02,1759,40,1496,,
E12000001,North East,region,2021-11-01,1819,34,1875,,
E12000001,North East,region,2021-10-31,1619,45,1313,,
E12000001,North East,region,2021-10-30,1923,33,1271,,
E12000001,North East,region,2021-10-29,2071,44,1654,53,
E12000001,North East,region,2021-10-28,1884,43,1683,,
E12000001,North East,region,2021-10-27,2075,46,1697,,
E12000001,North East,region,2021-10-26,1850,44,1711,,
E12000001,North East,region,2021-10-25,1430,35,1778,,
E12000001,North East,region,2021-10-24,1610,40,1312,,
E12000001,North East,region,2021-10-23,2353,40,1156,,
E12000001,North East,region,2021-10-22,2037,34,1476,40,
E12000001,North East,region,2021-10-21,2256,52,1566,,
E12000001,North East,region,2021-10-20,1818,39,1844,,
E12000001,North East,region,2021-10-19,2014,40,1820,,
E12000001,North East,region,2021-10-18,1668,44,2100,,
E12000001,North East,region,2021-10-17,1562,36,1304,,
E12000001,North East,region,2021-10-16,1720,27,1204,,
E12000001,North East,region,2021-10-15,1756,27,1394,45,
E12000001,North East,region,2021-10-14,2166,40,1484,,
E12000001,North East,region,2021-10-13,1745,41,1589,,
E12000001,North East,region,2021-10-12,1914,43,1611,,
E12000001,North East,region,2021-10-11,1304,32,1846,,
E12000001,North East,region,2021-10-10,1555,40,1206,,
E12000001,North East,region,2021-10-09,1380,24,1038,,
E12000001,North East,region,2021-10-08,1551,32,1285,41,
E12000001,North East,region,2021-10-07,1718,44,1252,,
E12000001,North East,region,2021-10-06,1440,35,1266,,
E12000001,North East,region,2021-10-05,1401,33,1359,,
E12000001,North East,region,2021-10-04,1272,30,1516,,
E12000001,North East,region,2021-10-03,1081,25,946,,
E12000001,North East,region,2021-10-02,1301,27,793,,
E12000001,North East,region,2021-10-01,1122,27,933,61,
E12000001,North East,region,2021-09-30,1217,25,1001,,
E12000001,North East,region,2021-09-29,1361,30,1088,,
E12000001,North East,region,2021-09-28,1727,15,1151,,
E12000001,North East,region,2021-09-27,1315,34,1305,,
E12000001,North East,region,2021-09-26,1222,35,952,,
E12000001,North East,region,2021-09-25,1121,36,960,,
E12000001,North East,region,2021-09-24,1432,26,1093,68,
E12000001,North East,region,2021-09-23,1472,36,1263,,
E12000001,North East,region,2021-09-22,1546,43,1192,,
E12000001,North East,region,2021-09-21,1230,34,1458,,
E12000001,North East,region,2021-09-20,1432,51,1407,,
E12000001,North East,region,2021-09-19,1043,48,941,,
E12000001,North East,region,2021-09-18,1274,22,857,,
E12000001,North East,region,2021-09-17,1313,23,1011,46,
E12000001,North East,region,2021-09-16,1243,49,1089,,
E12000001,North East,region,2021-09-15,1247,35,1101,,
E12000001,North East,region,2021-09-14,1293,46,1016,,
E12000001,North East,region,2021-09-13,1073,53,1187,,
E12000001,North East,region,2021-09-12,1120,29,784,,
E12000001,North East,region,2021-09-11,1594,35,877,,
E12000001,North East,region,2021-09-10,1826,45,1091,47,
E12000001,North East,region,2021-09-09,1568,56,1236,,
E12000001,North East,region,2021-09-08,1539,49,1315,,
E12000001,North East,region,2021-09-07,1734,47,1434,,
E12000001,North East,region,2021-09-06,1628,50,1554,,
E12000001,North East,region,2021-09-05,1263,33,1104,,
E12000001,North East,region,2021-09-04,1598,30,1103,,
E12000001,North East,region,2021-09-03,1332,36,1273,38,
E12000001,North East,region,2021-09-02,1726,50,1323,,
E12000001,North East,region,2021-09-01,1277,46,1398,,
E12000001,North East,region,2021-08-31,1023,45,1464,,
E12000001,North East,region,2021-08-30,1066,36,1113,,
E12000001,North East,region,2021-08-29,893,31,771,,
E12000001,North East,region,2021-08-28,1453,34,837,,
E12000001,North East,region,2021-08-27,1301,43,995,45,
E12000001,North East,region,2021-08-26,1450,47,1091,,
E12000001,North East,region,2021-08-25,1403,32,1165,,
E12000001,North East,region,2021-08-24,1057,38,1176,,
E12000001,North East,region,2021-08-23,1235,33,1212,,
E12000001,North East,region,2021-08-22,1192,41,865,,
E12000001,North East,region,2021-08-21,1191,37,848,,
E12000001,North East,region,2021-08-20,1048,39,949,30,
E12000001,North East,region,2021-08-19,1260,45,1030,,
E12000001,North East,region,2021-08-18,1178,39,1069,,
E12000001,North East,region,2021-08-17,1081,34,1028,,
E12000001,North East,region,2021-08-16,989,46,1115,,
E12000001,North East,region,2021-08-15,820,33,713,,
