pod_id_location,start_date_UTC,end_date_UTC,relocate_date_UTC,location_name,Borough,Type,ULEZ,Latitude,Longitude,X_Coord,Y_Coord,Distance_from_Road,Height,Site_Type
24245,26/09/2018 17:00,30/11/2020 23:59,NA,Farringdon Street,City of London,Kerbside,Yes,51.514743,-0.104526,531621.6893,181237.126,1.5,1.5,
25245,27/09/2018 09:00,30/11/2020 23:59,NA,Laystall St,Camden,Roadside,Yes,51.522514,-0.112014,531087.6619,182085.6874,2,3,School
26245,05/03/2019 11:30,30/11/2020 23:59,NA,Larkshall Road,Waltham Forest,Roadside,No,51.618933,-0.000281,538530.2078,193014.5457,0.5,3.4,
27245,03/10/2018 13:00,30/11/2020 23:59,NA,St Anns Hill,Wandsworth,Roadside,No,51.456143,-0.18927,525904.8363,174571.6912,4.2,2.145,School
28245,11/04/2019 00:00,30/11/2020 23:59,NA,Markfield Road,Haringey,Kerbside,No,51.583916,-0.064269,534213.1826,189002.5014,1.1,3.24,
29245,05/10/2018 10:00,30/11/2020 23:59,NA,Crowthorne Road,Kensington & Chelsea,Roadside,No,51.516554,-0.218503,523710.4458,181239.8547,0.9,3.353,School
30245,04/10/2018 14:00,30/11/2020 23:59,NA,Stockwell Road,Lambeth,Roadside,No,51.466706,-0.117473,530863.915,175873.2441,5,2.286,School
31245,11/10/2018 16:00,30/11/2020 23:59,NA,Tower Bridge Road,Southwark,Roadside,Yes,51.501965,-0.077592,533524.4056,179865.6484,3.3,2.945,School
32245,04/03/2019 14:31,30/11/2020 23:59,NA,Southbury Road,Enfield,Kerbside,No,51.649088,-0.054961,534664.6639,196264.8456,1.1,3.1,
33245,17/09/2019 13:00,30/11/2020 23:59,NA,Pemberton Gardens,Islington,Urban Background,No,51.562469,-0.132545,529542.5915,186496.8159,0.3,3,
34245,16/10/2018 15:00,30/11/2020 23:59,NA,Haimo Road,Greenwich,Urban Background,No,51.455253,0.040655,541881.0929,174892.7056,5,2,School
35245,18/10/2018 13:00,30/11/2020 23:59,NA,Triangle Adventure Playground,Lambeth,Urban Background,No,51.481924,-0.115556,530952.2198,177567.7874,6,2.35,
36245,28/02/2019 12:11,30/11/2020 23:59,NA,Black Horse Court,Southwark,Kerbside,Yes,51.496482,-0.088226,532799.2397,179229.1059,0.3,3.1,
38245,04/03/2019 16:40,30/11/2020 23:59,NA,Chigwell Road,Redbridge,Roadside,No,51.595229,0.038207,541270.7546,190456.4922,6,3.023,
39245,22/05/2019 17:00,30/11/2020 23:59,NA,Hendon Street,Greenwich,Urban Background,No,51.495027,0.010292,539650.247,179257.2713,0,3,School
40245,10/10/2018 10:00,30/11/2020 23:59,NA,Queen Margarets Grove,Islington,Urban Background,No,51.549215,-0.079761,533241.2495,185115.3176,5.7,2.305,Individual 
41245,02/05/2019 10:30,30/11/2020 23:59,NA,Fulham Palace Road,Hammersmith & Fulham,Roadside,No,51.486377,-0.220843,523625.6423,177878.2671,5.7,2.562,School
42245,05/03/2019 10:17,30/11/2020 23:59,NA,Romford Road,Newham,Kerbside,No,51.554615,0.058982,542843.0601,185977.8612,0.5,3.3,
43245,06/03/2019 11:00,30/11/2020 23:59,NA,Durham Street,Lambeth,Urban Background,Yes,51.485597,-0.11909,530699.4931,177970.8743,8.5,3.011,School
44245,11/10/2018 11:00,30/11/2020 23:59,NA,West Smithsfield,City of London,Kerbside,Yes,51.518921,-0.100905,531861.3897,181710.159,1.5,3.012,Hospital 
45245,01/12/2018 00:00,30/11/2020 23:59,NA,Ladbroke Grove,Kensington & Chelsea,Roadside,No,51.510768,-0.20529,524642.5327,180618.6242,0.4,5.87,
46245,26/10/2018 12:00,30/11/2020 23:59,NA,Exhibition Road,Kensington & Chelsea,Roadside,No,51.495475,-0.173573,526893.2168,178972.8174,3.1,6.1,
47245,14/03/2019 15:10,30/11/2020 23:59,NA,Whitecross,Islington,Urban Background,Yes,51.521451,-0.092771,532419.7357,182004.2672,12.4,3.126,School
48245,19/10/2018 12:00,30/11/2020 23:59,NA,Peckham Road,Southwark,Urban Background,No,51.474326,-0.078151,533567.022,176786.3635,NA,2.9,School
49245,19/02/2019 12:00,30/11/2020 23:59,NA,Ellenborough Road,Haringey,Urban Background,No,51.59906,-0.095201,532026.3828,190630.2976,6.4,3.5,School
51245,26/02/2019 15:00,30/11/2020 23:59,NA,Lancell Street,Hackney,Urban Background,No,51.5618,-0.07587,533474.2002,186521.9029,22.2,2.943,School
52245,16/10/2018 11:00,30/11/2020 23:59,NA,Dagnall Street,Wandsworth,Urban Background,No,51.4738,-0.157493,528063.0973,176590.2608,36.7,3.75,School
53245,17/10/2018 11:00,30/11/2020 23:59,NA,Devas Street,Tower Hamlets,Urban Background,No,51.523099,-0.012704,537967.7461,182340.7169,12,2,School
54245,10/10/2018 12:00,30/11/2020 23:59,NA,Holloway Bus Garage,Islington,Roadside,No,51.561917,-0.132947,529517.7305,186432.3744,2.1,2.581,
55245,17/12/2018 12:00,30/11/2020 23:59,NA,Upper Richmond Road,Richmond,Roadside,No,51.465116,-0.254736,521332.7818,175460.2846,4,3,School
56245,17/10/2018 13:00,30/11/2020 23:59,NA,The Vale,Ealing,Urban Background,No,51.506679,-0.262782,520664.3328,180059.5757,10,3,School
57245,18/10/2018 17:00,30/11/2020 23:59,NA,Lollard Street,Lambeth,Urban Background,Yes,51.492714,-0.114098,531022.5457,178770.2733,10,3,
58245,05/03/2019 13:45,30/11/2020 23:59,NA,Woolwich Road,Bexley,Roadside,No,51.481228,0.126787,547779.3037,177953.2716,1,3,
59245,20/03/2019 16:48,30/11/2020 23:59,NA,Drury Lane,Westminster,Urban Background,Yes,51.513472,-0.119223,530605.4581,181065.6835,7,3,School
60245,06/03/2019 12:40,30/11/2020 23:59,NA,Camberwell Road,Southwark,Kerbside,No,51.475739,-0.093557,532495.9891,176918.9231,0.7,3,
62245,23/10/2018 15:00,30/11/2020 23:59,NA,Hendon Way,Barnet,Urban Background,No,51.571687,-0.210037,524142.974,187382.4249,10.6,3,School
63245,15/10/2018 18:00,30/11/2020 23:59,NA,Oakdale Road,Redbridge,Urban Background,No,51.592485,0.033284,540944.9368,190138.8431,1.5,3,School
64245,16/10/2018 10:00,30/11/2020 23:59,NA,Morpeth Street,Tower Hamlets,Roadside,No,51.527588,-0.047295,535556.3458,182769.925,2,3,School
65245,27/02/2019 14:17,30/11/2020 23:59,NA,Edgware Road,Westminster,Kerbside,No,51.51419,-0.161979,527638.7888,181073.9487,0.3,3,
66245,16/10/2018 14:00,30/11/2020 23:59,NA,Columbia Road,Tower Hamlets,Urban Background,No,51.528491,-0.074268,533682.7495,182820.7544,15.6,3,School
67245,21/03/2019 10:30,30/11/2020 23:59,NA,Wyndham Road,Ealing,Urban Background,No,51.50061,-0.320726,516658.6329,179299.094,NA,3,School
68245,02/11/2018 00:00,30/11/2020 23:59,NA,Blomfontein Road,Hammersmith & Fulham,Roadside,No,51.514071,-0.235418,522540.6188,180934.6,0.25,3,
69245,18/10/2018 15:00,30/11/2020 23:59,NA,Devonshire Street,Hounslow,Urban Background,No,51.488199,-0.255688,521205.6051,178024.4867,NA,3,School
70245,26/10/2018 09:00,30/11/2020 23:59,NA,St James,Lewisham,Urban Background,No,51.474143,-0.038547,536322.4045,176842.9629,NA,3,School
71245,12/03/2019 13:50,30/11/2020 23:59,NA,Beaumont Grove,Tower Hamlets,Urban Background,No,51.521004,-0.046559,535626.9439,182039.1302,NA,3,School
72245,13/03/2019 15:55,30/11/2020 23:59,NA,Marylebone,Westminster,Roadside,Yes,51.52304,-0.174732,526729.3718,182035.9607,1.4,3,
73245,14/02/2019 13:45,30/11/2020 23:59,NA,Kew Road,Richmond,Kerbside,No,51.46394,-0.301597,518077.961,175253.8869,1,3,
74245,17/09/2019 13:00,30/11/2020 23:59,NA,Monnery Road,Islington,Kerbside,No,51.560567,-0.135615,529335.1277,186283.8592,0.1,3,
75245,24/10/2018 13:00,30/11/2020 23:59,NA,Robin Hood Health Centre,Sutton,Roadside,No,51.362842,-0.196908,525629.4403,164183.2753,1.5,3,GP Surgery
76245,07/03/2019 10:25,30/11/2020 23:59,NA,Roehampton Lane,Wandsworth,Roadside,No,51.455096,-0.243402,522142.84,174364.5799,1.7,3,
77245,13/03/2019 11:20,30/11/2020 23:59,NA,Cornwall Road,Lambeth,Kerbside,Yes,51.506643,-0.112107,531120.8062,180322.7835,1,3,
78245,15/03/2019 23:00,30/11/2020 23:59,NA,Cecilia Road,Hackney,Roadside,No,51.54989,-0.06836,534032.0795,185211.4701,0.3,3,
80245,01/03/2019 12:19,30/11/2020 23:59,NA,Ballance Road,Hackney,Roadside,No,51.5456,-0.03614,536276.3304,184793.6152,0.3,3.3,
81245,23/10/2018 09:00,30/11/2020 23:59,NA,Bonington Road,Havering,Urban Background,No,51.544414,0.21182,553472.6492,185152.4722,10.3,3.02,School
82245,01/03/2019 23:00,30/11/2020 23:59,NA,Haverstock Hill,Camden,Roadside,No,51.549012,-0.162351,527513.696,184943.6321,1.3,3.2,
83245,02/05/2019 13:00,30/11/2020 23:59,NA,Brook Drive,Southwark,Urban Background,Yes,51.493213,-0.101559,531889.3517,178848.6112,20,2.5,
84245,22/02/2019 00:00,30/11/2020 23:59,NA,Cowcross Street,Islington,Urban Background,Yes,51.52011,-0.103411,531685.5317,181837.5298,3.6,13.7,
85245,05/08/2020 11:00,30/11/2020 23:59,NA,Cannon Street,City of London,Kerbside,Yes,51.511403,-0.089336,532573.1375,180948.1545,1,3.1,
86245,28/02/2019 10:37,30/11/2020 23:59,NA,Commercial Street,Tower Hamlets,Kerbside,Yes,51.518123,-0.074271,533711.1536,181667.1106,0.3,3.1,
87245,17/07/2019 13:00,30/11/2020 23:59,NA,St John's Upper Holloway CE Primary School,Islington,Urban Background,No,51.5625154,-0.132866,529529.6844,186496.3009,NA,3.1,School
88245,29/10/2018 12:00,30/11/2020 23:59,NA,London Wall,City of London,Kerbside,Yes,51.516749,-0.085342,532948.3917,181494.0067,0.3,3.03,
89245,01/03/2019 10:10,30/11/2020 23:59,NA,Park Lane,Westminster,Kerbside,Yes,51.507988,-0.153446,528246.8372,180398.761,0.1,3.3,
90245,27/02/2019 15:00,30/11/2020 23:59,NA,Broadway Street,Bexley,Roadside,No,51.45788,0.135353,548452.1375,175376.2589,0.46,3.5,
95245,06/03/2019 16:41,30/11/2020 23:59,NA,Parkside,Merton,Kerbside,No,51.426126,-0.222013,523711.065,171177.9655,1,2.93,
96245,08/03/2019 10:27,30/11/2020 23:59,NA,Rosebery Avenue,Islington,Roadside,Yes,51.52844,-0.10692,531418.061,182755.9797,0.3,3.23,
98245,04/03/2019 23:00,30/11/2020 23:59,NA,Hertford Road,Enfield,Kerbside,No,51.673753,-0.038301,535739.7371,199042.3058,0.2,3.19,
102451,09/04/2019 15:00,28/05/2020 02:00,28/05/2020 02:00,Borough High Street,Southwark,Roadside,Yes,51.506131,-0.088654,532747.5427,180309.9732,3,5,
129245,25/02/2020 10:00,30/11/2020 23:59,NA,The Royal London Hospital,Tower Hamlets,Roadside,Yes,51.518778,-0.058917,534774.0438,181771.8771,50,3.1,Hospital 
130245,10/10/2019 16:00,30/11/2020 23:59,NA,Royal Free Hospital,Camden,Roadside,No,51.553606,-0.16701,527178.1701,185447.4115,5,3.1,Hospital 
212451,18/10/2018 13:00,28/10/2020 01:00,28/10/2020 01:00,Wood Lane,Barking & Dagenham,Kerbside,No,51.561372,0.148582,549034.541,186905.1839,1,3,
332450,16/10/2018 17:00,24/07/2019 02:00,24/07/2019 02:00,Churchill Gardens Road,Westminster,Urban Background ,No,51.486223,-0.14503,528893.6111,177993.5895,10.5,19.5,Individual 
332451,03/09/2019 13:00,17/09/2019 02:00,17/09/2019 02:00,Holloway Road,Islington,Roadside,No,51.555387,-0.116092,530700.6533,185732.4358,2,2.5,
372245,14/11/2019 15:00,30/11/2020 23:59,NA,Whipps Cross University Hospital,Epping Cross,Roadside,No,51.577305,0.00283,538766.7409,188446.6612,1.5,3.1,Hospital 
372450,12/10/2018 12:00,28/10/2020 01:00,28/10/2020 01:00,Station Parade,Barking & Dagenham,Kerbside,No,51.539063,0.080874,544410.2627,184291.0103,1,3.114,
374245,18/11/2019 15:00,30/11/2020 23:59,NA,Newham University Hospital,Newham,Roadside,No,51.522407,0.037865,541483.3488,182340.682,1.6,2.9,Hospital 
375245,28/11/2019 15:00,30/11/2020 23:59,NA,Charing Cross Hospital,Hammersmith & Fulham,Urban Background ,No,51.487354,-0.221561,523626.9065,177915.9101,5.8,3.3,Hospital 
376245,13/01/2020 16:00,30/11/2020 23:59,NA,St Thomas's Hospital,Southwark,Kerbside,Yes,51.499104,-0.11705,530797.8659,179472.3703,0.17,3.1,Hospital 
852450,24/04/2019 14:00,28/01/2020 01:00,28/01/2020 01:00,Bank Junction,City of London,Kerbside,Yes,51.513206,-0.088786,532723.9742,181095.3152,0.45,3.18,
