pod_id_location,start_date_UTC,end_date_UTC,relocate_date_UTC,location_name,Borough,Type,ULEZ,Latitude,Longitude,X_Coord,Y_Coord,Distance_from_Road,Height,Site_Type
1245,15/02/2019 12:00,30/11/2020 23:59,NA,Dollis Road,Barnet,Kerbside,No,51.604486,-0.206551,524299.9229,191038.6267,1.2,3.1,
2245,03/05/2019 10:00,30/11/2020 23:59,NA,Great Ormond St Hospital,Camden,Roadside,Yes,51.52188,-0.120434,530499.4261,182002.3181,2.5,2.8,Hospital 
3245,04/10/2018 18:00,30/11/2020 23:59,NA,Savernake Road,Camden,Urban Background,No,51.5554849,-0.1523385,528191.724,185682.9587,5,2.297,School
4245,06/03/2019 14:35,30/11/2020 23:59,NA,Wandsworth Road,Lambeth,Kerbside,No,51.475735,-0.131209,529881.9791,176852.2693,0.5,3.12,
5245,06/03/2019 15:55,30/11/2020 23:59,NA,Garrett Lane,Wandsworth,Kerbside,No,51.440399,-0.186775,526117.9944,172825.4459,1,3.445,Individual 
6245,07/03/2019 13:37,30/11/2020 23:59,NA,Hanworth Road,Hounslow,Kerbside,No,51.468625,-0.35977,514028.3706,175680.7242,1.2,3.2,
8245,14/02/2019 15:00,30/11/2020 23:59,NA,Geraldine Street,Southwark,Urban Background,Yes,51.49562,-0.105412,531617.1416,179108.998,21,2.225,School
9245,21/03/2019 11:00,30/11/2020 23:59,NA,Whitehall,Westminster,Kerbside,Yes,51.504566,-0.126167,530148.4296,180066.3016,1.2,2.9,
11245,09/10/2018 11:00,30/11/2020 23:59,NA,Cadogan Gardens,Kensington & Chelsea,Roadside,No,51.493217,-0.158772,527919.9752,178747.2644,2.3,1.762,School
12245,09/10/2018 13:00,30/11/2020 23:59,NA,Pattison Road,Barnet,Urban Background,No,51.560877,-0.195749,525167.0635,186206.4587,8.3,1.75,Individual 
13245,18/10/2018 13:00,30/11/2020 23:59,NA,Hunslett Street,Tower Hamlets,Urban Background,No,51.529308,-0.048721,535452.3321,182958.5548,2,2,School
14245,14/02/2019 11:00,30/11/2020 23:59,NA,Shaftsbury Avenue,Westminster,Kerbside,Yes,51.51207,-0.131959,529727.7466,180890.9369,1,3.1,
15245,25/10/2018 07:00,30/11/2020 23:59,NA,Caledonian Road,Islington,Kerbside,No,51.550067,-0.117987,530585.3666,185137.5427,2.3,3.1,
16245,07/03/2019 15:35,30/11/2020 23:59,NA,Kensington Church Walk,Kensington & Chelsea,Urban Background,No,51.501862,-0.19241,525561.1801,179650.4321,9,1.525,School
17245,11/04/2019 13:00,30/11/2020 23:59,NA,Holloway Road,Islington,Roadside,No,51.555387,-0.116092,530700.6533,185732.4358,2,2.5,
18245,07/03/2019 12:05,30/11/2020 23:59,NA,London Road,Kingston,Kerbside,No,51.410714,-0.296626,518563.8152,169340.8706,1,3.25,
19245,28/09/2018 16:00,30/11/2020 23:59,NA,Mansford Street,Tower Hamlets,Urban Background,No,51.528757,-0.061823,534545.1839,182873.1272,2,11,School
20245,03/10/2018 21:00,30/11/2020 23:59,NA,Albert Street,Camden,Roadside,No,51.536271,-0.143525,528859.4172,183562.4421,3.6,3.658,
22245,02/10/2018 12:00,30/11/2020 23:59,NA,Blackfriars Road,Southwark,Kerbside,Yes,51.505529,-0.104345,531657.8302,180212.8254,0.5,2.457,
23245,09/07/2019 13:00,30/11/2020 23:59,NA,Grahame Park Way,Barnet,Urban Background,No,51.608918,-0.246172,521546.4291,191463.9236,NA,3,School
