Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1836
Last updated 01-Aug-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836   43.7   56.0   91.2   48.0    9.6   71.1   82.1   45.5   71.2   79.7  122.5   55.6     ---   148.9   198.7   273.4   776.3
1837   74.3   61.6   37.8   58.2   29.5   49.8   92.1   59.7   49.5   60.1   48.3   95.9   191.5   125.5   201.6   157.9   716.9
1838   42.9   40.6   49.6   46.9   75.3   85.1   72.1   73.8   67.5   65.2   67.6   28.4   179.5   171.8   231.0   200.4   715.0
1839   42.9   37.8   76.4   20.6   17.0  110.9  114.0   81.4   91.7   77.1  102.5   66.4   109.1   114.0   306.3   271.3   838.6
1840   73.7   45.6   15.4   15.4   79.0   52.3   92.8   58.5   78.6   47.0   93.4   25.4   185.7   109.7   203.6   219.0   677.2
1841   55.6   42.4   44.0   37.4   57.3   60.8   89.9   82.3   82.9  131.1   74.6   62.6   123.5   138.7   233.0   288.6   820.9
1842   65.1   31.1   62.9   14.9   57.8   41.3   76.9   41.3   72.9   39.4   83.4   23.8   158.8   135.6   159.5   195.7   610.8
1843   38.3   71.6   24.0   75.5   96.5   63.1   79.8   70.4   15.7  108.3   70.3   10.6   133.7   196.0   213.3   194.2   724.1
1844   48.1   53.9   56.9   14.9   10.2   53.2   75.8   58.8   59.2   46.8   65.9   15.5   112.6    82.0   187.9   171.8   559.3
1845   36.6   27.9   57.9   46.9   71.9   80.2   77.1  145.6   56.4   99.2   44.8   82.8    80.0   176.7   302.9   200.4   827.3
1846   69.9   22.4   52.2  122.0   42.7   54.3   96.9   74.8   39.9  131.4   53.0   65.9   175.0   217.0   226.0   224.4   825.5
1847   43.4   35.3   31.4   47.1  122.2   62.2   28.3   40.2   36.4   80.5   66.4  110.5   144.6   200.6   130.8   183.4   704.0
1848   36.5  119.2  103.8   50.6   25.1  136.6   71.6   88.1   82.9  138.3   49.9   53.9   266.2   179.5   296.4   271.0   956.5
1849   74.3   22.0   34.7   82.8   59.5   39.0   79.9   63.4   75.8   90.6   53.1   92.0   150.2   177.0   182.2   219.5   767.0
1850   63.5   49.9   17.4   56.6   42.8   42.4   96.1   48.5   44.9   73.9   66.8   28.1   205.4   116.8   187.0   185.6   630.9
1851   71.4   28.7   72.9   50.3   27.7   74.5   85.8   63.3   62.5   48.1   36.3   24.6   128.2   150.9   223.6   147.0   646.1
1852   88.0   43.7   14.0   14.2   44.8   94.7   66.5   92.8  119.3   97.7  133.2  113.2   156.3    73.0   254.0   350.2   922.2
1853   77.6   76.2   40.0   41.1   30.9   56.5   86.7   47.3   55.4   89.6   41.5   51.2   267.1   112.0   190.5   186.5   694.0
1854   80.6   23.0   19.3   15.6   62.6   72.0   62.7   58.0   25.8   52.5   90.3   62.9   154.8    97.4   192.7   168.7   625.3
1855   24.8   58.6   47.8   17.5   40.2   74.5   97.2   73.6   12.0  115.2   55.4   42.1   146.3   105.5   245.3   182.5   658.8
1856   64.4   45.6    8.3   65.0   89.6   59.3   52.1  103.7  102.0   50.2   40.2   85.7   152.1   162.8   215.1   192.4   766.0
