Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England SE and Central S
Areal series, starting in 1836
Last updated 01-Aug-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836   67.7   59.0  103.2   90.7   21.5   39.9   65.1   64.4   94.8  126.1  100.0   60.2     ---   215.4   169.4   320.9   892.5
1837   80.0   81.1   19.9   34.5   24.9   34.4   44.2   87.5   42.7   67.5   51.9   53.8   221.4    79.3   166.1   162.1   622.4
1838   12.8   58.1   37.6   22.7   28.6   91.8   44.0   37.9   85.9   68.5  122.8   69.0   124.7    88.8   173.7   277.3   679.7
1839   48.6   53.5   51.4   37.5   25.2   65.0  104.8   54.0  137.6   72.7  117.8  108.2   171.1   114.1   223.8   328.0   876.2
1840   87.0   49.4    7.6    5.0   53.2   34.0   59.9   50.0   82.7   38.9  121.7   12.7   244.6    65.8   143.9   243.3   602.1
1841   78.7   44.4   48.9   47.8   64.2   55.6   63.3   78.4  130.5  159.8  114.2   73.1   135.8   160.9   197.3   404.5   959.0
1842   43.3   52.9   61.7    8.8   42.8   33.6   40.9   62.6   91.0   41.5  143.8   40.8   169.2   113.3   137.0   276.4   663.7
1843   54.9   58.8   24.0   56.5  122.0   51.8   52.1   90.1   18.6  113.9   69.1   17.8   154.6   202.5   194.0   201.5   729.6
1844   67.5   75.0   75.9   11.2    9.3   30.0   48.7   66.4   35.6  118.9   99.3   14.7   160.3    96.3   145.1   253.8   652.5
1845   73.0   32.5   29.7   33.8   61.1   45.4   55.7   69.2   68.0   49.3   77.6   70.2   120.1   124.6   170.3   194.8   665.3
1846  102.7   37.7   47.3   67.9   43.2   31.8   55.4   96.2   51.1  146.4   48.5   35.1   210.6   158.4   183.5   246.1   763.3
1847   46.2   41.5   27.3   31.2   45.5   44.4   24.2   37.2   44.8   76.4   55.3   91.3   122.8   104.0   105.8   176.4   565.1
1848   47.3   95.1   83.0   96.5   14.8  102.5   70.6  111.7   79.3  133.2   47.5   90.5   233.7   194.3   284.8   260.0   972.0
1849   53.5   55.6   22.1   82.8   76.5   22.4   61.8   26.5   88.9   95.0   39.2   75.8   199.6   181.4   110.7   223.1   700.0
1850   33.4   42.9    8.2   84.4   68.5   42.3   84.9   57.2   54.3   44.9   72.5   54.6   152.1   161.0   184.4   171.7   648.1
1851   97.1   27.8   99.3   48.2   24.4   38.3   84.1   49.4    8.4   83.5   22.8   26.9   179.6   171.9   171.8   114.7   610.2
1852  126.2   31.8   10.7   16.0   57.3  138.1   58.2  120.9  119.1  135.8  180.9   92.9   184.9    84.0   317.1   435.8  1087.9
1853   93.0   31.6   37.1   76.4   52.5   64.3  107.8   81.8   60.4  137.4   37.3   14.7   217.6   166.0   253.9   235.0   794.2
1854   59.2   24.8    9.4    9.7   87.6   49.2   45.7   46.6   25.7   88.6   50.4   42.2    98.8   106.7   141.6   164.7   539.3
1855   13.5   36.3   57.1   11.5   57.2   42.9  110.9   37.3   47.0  150.9   40.6   44.0    92.1   125.8   191.1   238.5   649.2
1856   69.6   34.2   28.9   93.9   92.6   38.9   37.8   73.3   89.6   66.1   30.2   75.4   147.9   215.4   150.1   185.8   730.6
1857   75.4   13.0   42.4   50.2   31.2   54.0   45.5   71.5   98.0  133.7   51.0   19.4   163.8   123.9   171.0   282.6   685.4
1858   24.6   32.1   26.1   66.6   53.8   18.6   67.3   52.6   41.6   51.8   32.2   69.5    76.0   146.6   138.5   125.7   536.8
1859   42.4   50.7   43.9   66.5   47.4   56.0   64.9   59.7   98.9  100.4   95.9   92.3   162.7   157.8   180.6   295.1   819.0
1860   91.7   32.0   58.5   45.4   82.9  144.2   62.4  115.5   90.5   54.4   75.3   79.9   216.0   186.7   322.2   220.1   932.7
1861   16.5   51.1   66.7   18.8   39.8   69.1   84.1   23.2   71.8   37.4  132.7   43.8   147.6   125.3   176.3   241.9   655.0
1862   59.5   16.0  112.5   55.8   88.2   58.4   47.8   55.3   50.6  130.0   26.6   57.5   119.3   256.5   161.5   207.2   758.2
1863   89.7   23.3   22.7   21.5   44.6  103.1   20.8   65.5   91.9   86.1   51.6   51.1   170.5    88.8   189.3   229.7   671.9
1864   33.4   32.5   80.0   35.8   44.1   34.4   12.5   31.3   71.7   43.7   95.0   33.1   117.0   159.9    78.3   210.4   547.5
1865  103.2   63.4   33.3   15.3   73.7   48.6   74.5  104.2    4.9  204.9   91.4   59.2   199.8   122.3   227.3   301.1   876.5
1866  122.1  114.3   55.4   53.9   36.7   72.7   53.0   69.6  154.6   42.8   52.0   60.8   295.7   146.0   195.3   249.4   888.0
1867   90.5   51.8   78.8   56.7   54.1   41.6  109.2   54.4   53.8   76.0   25.6   44.7   203.1   189.5   205.2   155.4   737.0
1868  107.2   36.5   43.4   58.0   30.8   13.6   35.1   98.7   83.9   70.4   44.6  164.6   188.4   132.2   147.4   198.9   786.8
1869   92.3   73.5   47.4   33.4  105.4   35.3   17.1   33.1  113.7   56.2   58.6   96.1   330.4   186.1    85.5   228.5   762.0
1870   47.6   52.6   48.5   10.4   32.9   10.8   35.9   52.0   50.9  112.0   51.7   77.2   196.3    91.9    98.7   214.6   582.7
1871   69.7   39.3   37.6   94.9   18.3   74.0   96.3   35.7  124.6   43.6   17.3   49.4   186.3   150.9   206.0   185.4   700.7
1872  144.9   51.3   63.4   40.7   78.7   72.6   77.5   50.7   45.3  129.2  127.6  134.1   245.6   182.8   200.7   302.1  1015.9
1873   99.1   51.3   60.6   21.7   37.6   55.0   54.8   64.2   65.4   83.5   67.0   16.6   284.5   119.9   174.0   215.9   676.9
1874   53.1   50.0   17.9   53.4   22.8   50.3   32.3   57.8   90.3  110.4   69.3   66.4   119.7    94.1   140.4   270.0   673.9
1875  106.6   46.4   24.1   35.6   44.5   74.1  127.6   41.1   57.4  139.8  116.6   34.8   219.4   104.2   242.8   313.9   848.6
1876   33.7   73.4   85.1   61.1   21.9   44.1   17.7   79.7  112.3   43.1   90.9  180.8   141.9   168.2   141.4   246.4   843.9
1877  156.3   47.3   64.9   77.0   64.1   29.1   85.4   83.1   43.7   64.5  163.0   57.5   384.4   206.0   197.6   271.1   935.8
1878   40.1   49.1   36.8   77.8  105.4   57.3   36.8  124.0   38.4   84.5   92.5   48.1   146.7   220.0   218.1   215.4   790.8
1879   84.8  103.4   20.7   78.4   82.8  116.2   98.1  138.0   84.2   25.6   20.6   24.5   236.3   181.9   352.3   130.4   877.4
1880   13.0   83.6   27.3   50.4   11.2   70.3  106.3   30.1  110.9  162.2   79.8   93.8   121.1    89.0   206.7   353.0   839.1
1881   45.6   76.4   58.1   16.2   32.7   57.4   47.5  130.1   59.9   62.2   99.9   85.7   215.8   107.0   234.9   222.0   771.7
1882   38.5   43.4   33.3   90.6   42.1   78.1   79.0   48.7   75.2  171.9   92.3   75.4   167.6   165.9   205.7   339.4   868.3
1883   69.6  110.0   27.2   34.5   55.1   50.8   72.9   25.2   96.0   64.9  100.4   26.3   254.9   116.7   148.9   261.3   732.8
1884   78.6   51.2   53.0   41.0   20.0   56.4   59.4   31.7   68.6   32.7   36.2   87.0   156.1   114.0   147.5   137.5   615.8
1885   63.2   90.4   44.7   43.3   79.6   40.7    8.7   26.3  119.5  103.7   90.4   34.4   240.6   167.5    75.7   313.7   745.0
1886  104.9   17.3   48.9   49.9  100.3   20.4   68.2   37.2   47.3  100.0   92.7  133.9   156.6   199.1   125.7   240.1   821.0
1887   64.9   19.4   42.9   38.3   41.1   28.9   22.2   56.4   71.3   42.9  106.5   54.2   218.2   122.4   107.5   220.8   589.1
1888   25.6   36.6   93.2   45.1   38.3   75.0  132.6   53.9   32.1   45.0  122.9   52.7   116.4   176.7   261.4   200.0   753.1
1889   25.5   57.9   56.1   63.6   63.3   30.8   67.7   64.7   33.6  128.9   31.2   46.2   136.1   183.0   163.2   193.8   669.6
1890   80.4   24.3   45.0   60.2   46.8   67.8   97.6   77.8   30.1   30.9   62.8   22.8   150.9   152.1   243.2   123.9   646.6
1891   62.6    1.2   59.7   21.1   72.3   39.3   74.6  135.3   34.5  186.7   79.1  104.3    86.6   153.1   249.2   300.4   870.7
1892   21.2   36.8   30.7   27.7   25.4   58.6   60.6   94.4   67.8  121.9   71.2   44.9   162.3    83.7   213.6   260.9   661.1
1893   52.5   97.2   11.6    1.4   22.7   25.7   87.7   30.9   51.0  103.8   62.1   74.0   194.6    35.7   144.2   216.9   620.6
1894   88.0   53.1   41.1   55.9   47.6   57.8  117.8   59.6   65.3  109.2  131.0   60.4   215.1   144.6   235.2   305.5   886.8
1895   69.8    6.2   49.3   53.1    9.3   16.5   97.6   65.9   21.5   90.8  130.9   69.6   136.5   111.7   180.0   243.3   680.6
1896   23.4    9.9   82.7   17.4    7.7   66.2   29.6   63.0  168.0   97.4   32.3  108.8   102.9   107.8   158.8   297.7   706.3
1897   60.7   77.6  110.7   50.9   33.3   62.3   24.9   88.4   67.2   20.4   31.3   98.6   247.2   194.9   175.5   118.9   726.3
1898   16.8   38.7   29.3   35.5   88.5   45.1   14.7   36.0   24.7   96.9   92.1   72.7   154.1   153.4    95.8   213.7   591.1
1899   87.0   73.0   18.9   72.1   40.8   36.2   29.5   26.4   68.8   63.8  108.1   46.6   232.7   131.8    92.1   240.7   671.2
1900   89.9  130.2   28.6   32.0   35.0   69.5   30.1   69.3   21.9   62.0   76.0   99.6   266.7    95.5   168.9   159.9   744.0
1901   32.1   40.8   56.4   59.2   27.2   39.8   62.8   50.8   46.4   61.5   16.7  120.1   172.5   142.8   153.4   124.6   613.8
