Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for East Anglia
Areal series, starting in 1836
Last updated 01-Aug-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836   44.1   47.0   85.2   55.2   17.0   58.7   46.5   29.6   82.6   94.0   80.4   42.4     ---   157.4   134.8   257.0   682.7
1837   64.8   54.3   20.7   43.4   33.9   37.0   47.0   96.2   39.1   49.0   52.1   47.2   161.5    98.0   180.2   140.2   584.7
1838   16.1   33.9   30.9   31.8   22.8   84.4   47.9   41.1   55.6   47.9   69.1   34.2    97.2    85.6   173.3   172.7   515.7
1839   38.2   43.1   46.2   27.2   29.1   70.9   78.9   66.4   70.8   45.9   86.5   56.0   115.5   102.5   216.2   203.1   659.2
1840   56.7   23.7   12.7    6.0   64.0   36.7   52.9   32.0   61.1   41.6   69.5   10.6   136.4    82.6   121.6   172.1   467.4
1841   52.3   29.3   33.7   36.2   43.2   60.7   94.8   75.0   85.9  123.3   75.4   57.7    92.2   113.2   230.5   284.6   767.5
1842   33.5   28.8   60.7   20.2   43.2   45.9   70.0   37.1  100.1   44.2   93.3   21.6   120.1   124.1   153.0   237.6   598.6
1843   32.9   58.3   22.8   44.9  105.3   46.7   57.5  117.2   22.4  112.1   56.7    7.9   112.8   173.1   221.4   191.2   684.7
1844   49.8   55.3   52.1    7.5   12.7   40.0   58.0   59.2   39.0  104.2   76.4   13.5   113.0    72.3   157.3   219.6   567.8
1845   54.5   19.2   42.7   35.0   70.8   41.1   55.9   74.2   34.0   37.9   46.6   69.3    87.2   148.6   171.2   118.5   581.3
1846   65.6   21.7   27.6   80.6   27.9   20.7   45.9   71.7   44.0   95.6   34.3   39.3   156.7   136.2   138.3   173.9   575.0
1847   31.6   26.3   24.3   32.9   57.1   64.6   24.9   44.8   44.2   58.0   46.7   59.7    97.2   114.3   134.2   148.9   515.1
1848   27.0   69.8   82.9   70.6    8.7   89.4   53.5   85.6   91.7  116.5   34.3   45.9   156.4   162.2   228.5   242.6   775.9
1849   38.6   35.6   23.2   54.2   93.8   22.1   63.3   34.2   69.2   71.8   38.2   77.4   120.1   171.2   119.5   179.3   621.6
1850   35.4   24.5   14.8   45.4   56.9   16.0  101.2   39.4   38.1   45.9   52.1   44.2   137.4   117.1   156.7   136.1   514.0
1851   60.6   17.9   93.4   58.2   24.5   37.0   98.7   54.1   21.6   66.6   49.5   20.6   122.7   176.1   189.8   137.7   602.8
1852   90.0   43.6   12.3   14.8   50.7   89.3   49.8  105.9   98.1   90.7  130.7   51.3   154.3    77.8   245.0   319.6   827.4
1853   54.9   50.0   26.6   71.8   35.7   62.6  116.5   66.8   47.2   84.7   39.2   19.7   156.1   134.1   245.9   171.0   675.5
1854   39.9   24.9   13.7   19.4   81.9   26.5   43.8   71.8   18.3   62.0   50.8   52.6    84.5   115.1   142.1   131.2   505.7
1855   21.0   36.6   32.5    5.4   44.0   47.6  113.5   47.2   22.7  108.8   57.9   32.9   110.2    82.0   208.3   189.4   570.2
1856   58.5   27.3   11.5   37.8   69.4   30.0   52.2   57.9   72.0   47.4   55.1   40.5   118.8   118.7   140.1   174.5   559.6
1857   72.5    7.4   26.1   49.0   33.0   52.7   41.9   69.7   91.5  107.8   42.2    9.5   120.4   108.0   164.3   241.5   603.3
1858   17.3   25.2   20.9   47.5   58.7   24.7   80.1   64.3   28.1   53.6   28.5   43.7    51.9   127.1   169.1   110.3   492.6
1859   19.0   31.8   33.7   63.1   39.0   63.7   67.0   61.3   74.0   79.0   47.2   59.7    94.5   135.8   192.1   200.1   638.6
1860   62.5   36.8   57.1   27.8   92.5  119.7   51.2   98.7   68.6   41.5   62.7   51.9   158.9   177.4   269.6   172.8   771.0
1861   25.0   51.3   49.7   23.3   29.8   47.6   84.4   15.9   39.4   19.9   97.5   33.6   128.1   102.8   147.9   156.8   517.4
1862   40.4   12.3   81.3   44.0   63.9   54.9   43.6   64.5   51.4   66.4   33.8   42.6    86.3   189.2   163.0   151.6   599.1
1863   58.5   11.7   21.8   22.7   22.2   76.3   22.1   47.9   64.2   59.6   58.4   26.6   112.8    66.8   146.3   182.2   492.0
1864   19.7   26.0   71.3   14.3   53.8   37.4   16.9   24.3   46.6   28.1   58.3   19.7    72.3   139.4    78.6   133.0   416.5
1865   67.2   55.1   47.4   10.9   40.5   39.8   98.3  109.6    6.6  152.1   48.3   27.2   142.0    98.8   247.7   206.9   702.9
1866   66.4   83.5   35.0   44.4   41.0   66.6   64.5   66.5   84.0   26.5   59.2   57.1   177.1   120.5   197.7   169.7   694.9
1867   72.2   34.1   46.0   57.4   80.3   24.2   90.3   44.7   51.9   56.8   17.3   57.8   163.3   183.7   159.2   126.0   632.9
1868   59.1   33.2   45.9   39.7   20.0   18.5    8.9   62.3   54.0   63.2   33.8  106.1   150.1   105.6    89.7   150.9   544.6
1869   53.2   59.1   54.5   35.4   76.7   33.3   16.2   40.9   79.4   52.1   57.8   98.0   218.5   166.5    90.4   189.3   656.6
1870   28.1   23.0   41.3   15.9   18.3   26.8   46.6   48.1   40.5   81.2   28.0   84.9   149.1    75.5   121.5   149.7   482.6
1871   26.8   42.7   29.4   73.8   24.4   75.6   74.5   18.4  106.8   29.9   34.1   30.7   154.4   127.7   168.5   170.8   567.2
1872   76.5   24.6   61.0   53.6   62.1   70.4  102.5   70.6   46.8   86.5   93.4   88.6   131.8   176.7   243.5   226.7   836.6
1873   55.6   43.0   39.8   25.0   47.8   52.0   52.5   53.7   63.1   62.6   42.1   13.6   187.2   112.5   158.1   167.8   550.6
1874   30.6   24.6   20.4   31.5   26.3   43.3   30.0   37.4   69.2   57.3   56.1   52.4    68.7    78.3   110.7   182.6   479.1
1875   55.4   25.9   13.2   28.6   47.6   68.5  141.6   28.8   62.5   89.6  116.7   35.7   133.7    89.4   238.9   268.9   714.2
1876   40.7   61.8   67.4   66.0   21.9   45.7   40.0   47.4  109.8   27.4   75.1  108.5   138.2   155.3   133.1   212.3   711.7
1877   85.5   57.2   58.5   64.3   47.6   30.5   78.0   83.4   42.3   38.8   78.4   51.5   251.3   170.5   191.9   159.5   716.1
1878   40.5   31.7   25.4   43.0  103.9   45.5   22.2  110.9   35.9   53.1  129.9   38.5   123.6   172.4   178.6   219.0   680.6
1879   43.4   72.8   22.6   62.2   68.6  104.8  113.1  106.5   78.0   23.7   34.9   18.4   154.7   153.4   324.4   136.6   749.1
