year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1836,108.5,82.7,161.5,88.5,4.6,133.2,153.7,86.7,130.0,106.8,195.2,157.7,---,254.6,373.7,432.0,1409.2
1837,96.8,131.3,51.9,50.9,47.1,79.8,93.4,96.4,100.5,152.9,147.8,130.7,385.7,149.9,269.6,401.1,1179.5
1838,24.5,39.2,73.6,78.9,86.6,150.7,109.4,166.0,52.9,168.7,144.5,78.0,194.4,239.1,426.1,366.1,1173.0
1839,101.2,94.0,106.2,37.7,20.5,93.8,186.5,129.9,200.1,86.5,122.9,91.9,273.2,164.3,410.1,409.5,1271.1
1840,143.9,82.4,11.8,29.8,90.0,107.0,157.9,139.8,133.9,71.8,155.4,22.1,318.3,131.7,404.8,361.1,1146.0
1841,86.0,67.0,100.2,66.2,98.4,84.1,133.0,162.0,138.5,182.2,122.3,175.7,175.1,264.8,379.1,442.9,1415.5
1842,86.3,56.2,132.1,12.3,78.3,86.0,117.1,56.2,70.5,73.2,171.6,96.0,318.3,222.7,259.3,315.3,1035.9
1843,119.8,41.9,40.2,160.4,94.8,93.2,125.7,106.8,21.2,232.6,162.5,38.9,257.7,295.4,325.7,416.4,1238.1
1844,89.0,93.8,105.3,42.7,5.2,58.4,94.0,113.7,109.1,108.3,69.4,15.9,221.7,153.2,266.1,286.8,904.8
1845,96.0,41.1,79.0,76.8,50.4,97.9,99.7,175.2,98.8,108.0,109.0,181.9,153.1,206.2,372.8,315.9,1214.0
1846,119.2,60.7,111.4,124.5,41.3,87.9,140.9,138.2,53.0,184.3,92.3,58.0,361.9,277.2,367.0,329.7,1211.7
1847,73.3,77.0,52.5,68.1,107.6,81.8,39.6,82.8,125.5,158.6,141.2,194.4,208.3,228.2,204.2,425.3,1202.4
1848,71.0,206.1,114.6,68.8,44.3,137.3,111.4,162.0,95.7,152.3,104.9,131.0,471.5,227.8,410.6,353.0,1399.6
1849,160.9,59.3,33.2,70.3,72.0,36.2,128.1,120.2,117.2,149.5,127.3,96.0,351.2,175.5,284.6,394.0,1170.4
1850,84.3,109.3,39.5,102.3,66.2,66.6,114.8,132.8,65.3,97.8,147.5,92.9,289.6,208.1,314.2,310.6,1119.4
1851,190.8,77.4,120.8,51.8,45.6,119.8,100.1,104.8,64.5,130.6,67.9,55.7,361.1,218.2,324.6,262.9,1129.6
1852,197.5,144.5,15.9,19.7,84.7,119.4,97.7,159.8,131.0,121.6,206.5,244.2,397.7,120.2,376.9,459.1,1542.4
1853,149.1,34.8,48.8,83.9,31.8,102.3,147.0,87.1,81.5,130.9,85.1,34.9,428.1,164.6,336.3,297.6,1017.3
1854,105.1,65.5,50.1,24.4,73.9,96.6,82.0,103.7,70.9,98.7,103.3,150.6,205.4,148.4,282.2,272.9,1024.8
1855,19.8,34.0,76.4,32.8,52.0,107.8,134.4,93.1,39.3,171.8,47.8,58.3,204.3,161.2,335.3,258.9,867.4
1856,94.0,93.5,21.9,70.6,73.1,94.2,86.9,120.2,125.4,78.4,65.5,141.5,245.8,165.5,301.3,269.3,1065.1
1857,94.4,79.3,98.2,83.0,65.6,101.0,90.8,116.5,88.9,72.3,63.6,88.1,315.2,246.8,308.2,224.7,1041.5
1858,61.5,18.4,63.8,93.8,83.0,67.8,81.7,87.3,133.2,140.6,52.8,122.0,168.1,240.7,236.8,326.6,1006.0
1859,109.3,86.0,149.6,108.6,16.2,62.2,83.5,127.1,152.0,109.1,112.2,118.3,317.4,274.3,272.9,373.3,1234.2
1860,150.3,50.3,127.7,50.8,92.3,167.1,58.5,181.7,70.5,171.7,72.4,99.4,318.8,270.8,407.3,314.6,1292.6
1861,49.2,121.2,147.5,31.0,32.2,78.6,137.6,139.4,143.1,76.6,191.9,87.9,269.8,210.7,355.6,411.6,1236.2
1862,113.6,27.1,112.5,111.9,114.3,103.6,120.9,99.4,93.4,192.2,57.7,138.8,228.5,338.8,323.9,343.2,1285.4
1863,159.5,56.3,42.4,66.0,70.4,110.2,42.6,123.5,182.4,180.1,137.5,98.7,354.6,178.9,276.3,499.9,1269.6
1864,80.7,77.6,96.6,49.6,65.9,96.7,53.1,72.6,132.6,83.4,122.7,99.6,257.0,212.1,222.4,338.7,1031.1
1865,94.6,86.3,57.2,33.7,132.3,30.7,71.0,145.8,27.7,140.2,118.4,75.7,280.5,223.2,247.5,286.3,1013.7
1866,177.6,129.8,83.2,39.9,47.0,109.7,84.6,134.1,210.4,69.0,163.0,140.3,383.1,170.1,328.4,442.4,1388.7
1867,134.8,93.1,66.4,139.6,62.4,37.5,123.8,71.0,101.2,142.8,39.1,111.5,368.2,268.5,232.3,283.1,1123.2
1868,130.0,111.3,145.4,73.1,53.6,17.5,21.7,113.9,68.7,142.0,89.5,256.3,352.7,272.1,153.1,300.2,1222.9
1869,146.3,159.5,45.8,76.2,91.5,39.0,39.6,64.8,230.2,99.6,148.0,144.1,562.0,213.4,143.5,477.7,1284.6
1870,106.5,79.7,72.0,55.5,69.9,48.9,35.8,63.0,89.2,251.1,110.6,85.5,330.3,197.3,147.7,450.8,1067.5
1871,77.2,107.3,65.2,88.1,40.2,70.9,141.9,70.7,107.8,149.8,53.5,110.7,270.0,193.4,283.4,311.2,1083.2
1872,198.4,127.6,112.8,77.6,75.9,152.6,138.3,108.7,199.3,206.2,174.7,161.0,436.6,266.2,399.6,580.1,1733.0
1873,187.6,34.5,90.2,26.1,61.4,58.9,120.2,135.0,92.2,150.1,81.8,57.0,383.1,177.7,314.1,324.2,1095.0
1874,128.6,80.2,95.9,56.4,50.3,31.3,76.6,170.9,135.3,188.9,142.6,109.8,265.7,202.6,278.8,466.7,1266.7
1875,159.5,45.5,38.8,39.0,68.2,99.7,114.1,89.2,145.2,144.0,138.1,77.1,314.8,146.0,303.1,427.4,1158.5
1876,64.2,136.4,112.7,87.7,22.2,77.5,80.7,112.4,134.7,104.4,119.0,185.4,277.7,222.6,270.6,358.0,1237.2
1877,201.6,130.4,93.7,79.6,92.6,78.5,149.0,171.6,99.0,165.9,216.2,125.7,517.3,265.8,399.1,481.2,1603.7
1878,115.8,61.3,61.3,56.4,127.1,92.1,29.7,145.3,128.3,140.5,94.6,77.4,302.8,244.9,267.1,363.4,1130.0
1879,45.0,99.1,70.1,56.6,61.7,140.7,155.4,186.0,114.4,63.7,37.8,81.7,221.5,188.4,482.0,215.9,1112.1
1880,31.2,101.8,66.5,63.5,58.9,100.0,168.5,55.0,111.8,108.3,156.8,171.6,214.7,188.9,323.4,377.0,1193.9
1881,22.4,132.8,111.1,42.6,106.0,101.6,110.8,157.9,64.9,90.1,158.8,129.7,326.7,259.7,370.2,313.8,1228.7
1882,107.0,98.8,103.2,119.8,61.7,143.3,168.6,113.9,77.5,115.8,187.8,136.5,335.6,284.7,425.9,381.1,1434.0
1883,171.2,115.4,53.1,45.8,48.8,101.2,86.7,94.3,157.8,149.3,144.8,99.4,423.1,147.7,282.1,452.0,1267.8
1884,166.9,124.5,101.2,42.9,74.2,35.5,133.4,47.2,100.4,79.4,75.9,148.1,390.9,218.2,216.1,255.6,1129.6
1885,81.4,147.9,81.0,70.1,66.3,64.9,60.1,75.6,149.6,166.7,107.2,58.6,377.5,217.4,200.5,423.5,1129.4
1886,143.1,39.8,113.2,71.8,144.2,52.5,129.9,64.2,142.4,166.6,119.8,168.7,241.5,329.2,246.6,428.8,1356.3
1887,93.9,50.2,55.0,53.9,58.9,24.0,67.7,67.5,126.5,81.5,80.8,105.5,312.9,167.7,159.2,288.9,865.4
1888,55.2,31.7,81.5,61.2,44.2,67.5,182.2,111.9,41.1,94.8,178.6,109.2,192.4,186.9,361.6,314.5,1059.0
1889,60.1,71.6,79.0,100.9,85.5,23.7,86.2,149.6,80.8,138.7,66.9,107.4,241.0,265.4,259.5,286.4,1050.6
1890,173.0,26.4,89.4,43.4,74.1,99.8,91.2,137.7,83.0,86.3,218.1,26.0,306.8,206.8,328.7,387.5,1148.3
1891,85.0,9.5,56.4,66.0,77.3,81.2,91.6,215.9,151.7,168.1,121.5,221.0,120.5,199.7,388.6,441.3,1345.1
1892,101.4,63.3,36.9,41.0,109.0,94.3,79.5,164.4,154.2,171.6,91.4,73.5,385.7,186.8,338.2,417.2,1180.4
