year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1836,69.1,66.3,112.5,59.9,8.9,98.6,114.0,58.9,88.0,84.4,148.7,92.4,---,181.3,271.5,321.1,1001.8
1837,81.6,87.5,40.9,52.3,33.8,60.8,95.2,64.1,63.2,93.2,82.1,111.0,261.5,127.0,220.1,238.6,865.7
1838,37.3,41.0,61.4,56.3,81.6,100.7,89.8,98.2,64.1,101.8,84.1,42.6,189.3,199.3,288.7,250.0,858.8
1839,62.2,57.1,88.5,24.9,15.7,103.7,138.0,95.6,130.2,76.3,108.4,75.7,161.8,129.1,337.3,315.0,976.4
1840,103.5,58.5,12.6,20.1,83.3,70.4,117.1,86.7,101.5,48.5,111.7,22.9,237.7,116.0,274.1,261.7,836.7
1841,68.6,48.4,61.4,47.7,76.2,74.1,104.0,108.4,98.7,151.9,88.4,98.8,139.8,185.2,286.5,339.1,1026.5
1842,65.8,38.0,88.5,15.2,64.1,55.5,96.7,50.4,68.1,51.5,104.7,53.1,202.7,167.8,202.7,224.4,751.8
1843,71.0,63.3,31.4,110.5,94.2,73.1,100.5,79.7,17.1,145.4,103.4,21.6,187.4,236.1,253.3,265.9,911.3
1844,62.9,63.8,80.1,25.0,8.3,59.1,82.1,77.1,76.3,59.5,64.7,13.2,148.3,113.4,218.2,200.5,671.9
1845,54.3,32.5,69.6,59.5,61.1,87.2,86.7,154.5,72.2,112.8,68.8,123.4,100.0,190.2,328.4,253.7,982.5
1846,90.7,36.3,68.8,120.8,39.9,68.4,115.4,91.5,40.1,143.9,65.6,57.2,250.4,229.5,275.3,249.7,938.6
1847,49.1,47.3,35.1,57.0,115.3,68.4,31.3,57.8,68.5,101.9,95.2,129.3,153.5,207.4,157.6,265.6,856.3
1848,48.5,155.6,107.5,54.8,32.0,139.9,83.6,111.8,83.9,139.0,66.2,81.2,333.4,194.4,335.3,289.2,1104.1
1849,112.5,36.1,31.9,68.7,58.1,37.1,99.3,80.9,88.0,109.0,82.5,90.6,229.7,158.7,217.3,279.6,894.7
1850,68.8,78.6,21.0,72.8,46.9,54.5,102.1,80.3,49.2,82.2,95.6,46.6,238.0,140.7,236.9,227.0,798.7
1851,106.7,48.7,80.6,48.0,34.8,90.6,92.6,77.8,60.2,75.4,37.2,35.8,201.9,163.5,261.0,172.8,788.5
1852,127.9,80.8,13.8,15.3,54.1,104.8,75.5,104.6,103.3,102.4,150.4,160.6,244.6,83.3,284.9,356.1,1093.7
1853,105.2,56.5,42.2,52.6,31.0,76.8,104.7,58.6,70.9,100.1,57.5,38.9,322.3,125.7,240.2,228.5,795.0
1854,88.5,40.9,30.7,18.1,66.4,80.6,68.7,69.8,46.1,66.7,93.8,104.2,168.3,115.2,219.1,206.6,774.5
1855,23.0,47.2,57.2,25.6,42.1,83.4,102.6,78.8,21.3,135.7,47.8,42.4,174.4,124.9,264.8,204.8,707.2
1856,72.6,66.2,10.9,69.4,88.6,75.3,61.5,118.5,104.7,57.9,44.5,104.2,181.2,168.8,255.4,207.0,874.2
1857,78.2,42.1,69.1,65.3,42.0,74.0,67.5,128.8,80.4,51.9,53.2,43.8,224.5,176.5,270.3,185.5,796.4
1858,37.1,15.0,42.2,51.5,61.8,52.0,78.7,79.7,94.0,103.3,50.5,76.5,95.9,155.6,210.4,247.8,742.4
1859,68.7,55.6,88.4,85.4,10.9,61.6,58.9,98.1,107.4,79.1,78.7,83.5,200.8,184.8,218.6,265.2,876.4
1860,117.2,47.2,89.9,35.5,79.2,129.6,62.7,124.5,62.5,105.5,79.1,89.9,247.9,204.6,316.8,247.0,1022.7
1861,36.4,94.1,105.2,32.6,25.5,68.7,109.2,76.1,104.3,46.7,145.6,60.6,220.3,163.3,254.0,296.6,904.9
1862,71.8,28.9,101.9,67.0,86.0,86.5,82.4,82.6,72.4,129.2,36.8,82.0,161.3,255.0,251.5,238.4,927.7
1863,129.2,36.0,37.0,48.0,50.1,96.5,37.9,98.8,116.9,122.5,92.7,73.3,247.2,135.1,233.3,332.2,939.0
1864,49.2,62.6,76.3,39.1,57.2,63.9,32.5,48.8,84.9,99.7,89.7,80.6,185.0,172.7,145.2,274.2,784.4
1865,62.4,60.8,41.3,31.4,99.8,23.6,64.4,116.7,17.4,155.4,84.9,49.0,203.8,172.5,204.6,257.8,807.2
1866,104.8,93.8,63.1,44.7,35.4,83.3,102.8,110.6,150.4,65.5,114.1,101.5,247.6,143.2,296.6,330.0,1069.9
1867,98.6,63.9,56.7,102.4,59.6,46.0,100.4,74.2,72.0,77.7,30.6,76.1,264.0,218.7,220.5,180.4,858.2
1868,86.9,73.3,89.0,66.4,36.9,16.8,15.7,93.2,81.7,100.1,65.4,195.4,236.2,192.3,125.7,247.2,920.7
1869,95.7,103.8,47.0,56.6,99.9,39.0,25.2,50.4,146.6,68.5,94.7,121.1,394.9,203.5,114.6,309.8,948.5
1870,73.8,60.5,52.5,30.9,46.4,53.3,25.7,52.2,53.4,187.5,69.9,92.3,255.3,129.8,131.2,310.8,798.4
1871,42.4,76.7,40.7,83.3,39.2,83.5,109.5,48.8,124.7,91.5,46.9,74.0,211.4,163.2,241.8,263.1,861.1
1872,128.1,92.8,87.3,81.3,57.8,111.5,127.3,96.7,145.4,150.3,132.4,119.9,294.9,226.3,335.5,428.1,1330.7
1873,108.7,33.7,67.4,21.1,58.6,48.4,88.6,96.2,65.0,98.7,64.2,32.2,262.3,147.0,233.2,227.9,782.7
1874,78.8,51.1,64.0,44.6,45.6,28.4,54.3,106.7,89.1,116.7,96.2,88.0,162.0,154.2,189.4,302.0,863.4
1875,111.3,33.6,25.8,26.7,46.9,81.5,111.9,75.1,96.3,124.9,135.2,57.3,232.9,99.3,268.6,356.5,926.6
1876,43.3,94.7,98.2,74.9,25.1,74.5,61.4,74.6,111.3,70.1,95.2,179.6,195.4,198.2,210.5,276.7,1003.0
1877,139.5,82.0,81.3,84.8,73.2,57.5,108.0,151.7,84.3,110.7,122.4,84.3,401.1,239.3,317.1,317.4,1179.7
1878,89.3,43.0,39.9,51.7,106.3,78.2,26.6,146.8,89.3,89.5,106.1,66.2,216.5,198.0,251.6,284.9,932.9
1879,35.1,79.6,47.2,55.9,62.0,116.3,124.6,118.9,71.4,42.8,47.0,52.0,180.9,165.1,359.8,161.2,852.8
1880,16.6,76.6,56.1,58.1,51.0,79.4,141.9,48.2,121.6,118.7,102.3,116.5,145.1,165.2,269.5,342.6,987.0
1881,21.3,107.4,94.7,36.1,65.4,68.4,97.4,145.7,83.5,90.9,105.4,97.4,245.2,196.3,311.4,279.7,1013.5
1882,70.1,64.5,73.5,106.7,52.0,118.9,120.5,83.9,59.7,114.3,127.1,119.4,231.9,232.1,323.3,301.1,1110.5
1883,113.1,82.6,43.7,52.7,42.9,91.0,96.0,64.9,134.3,110.5,92.3,67.0,315.0,139.3,251.9,337.2,990.9
1884,126.3,67.2,68.0,45.1,47.4,23.3,114.4,39.1,64.8,54.9,47.5,98.9,260.5,160.5,176.9,167.2,797.0
1885,60.5,84.3,60.6,56.4,67.1,62.8,37.6,60.4,102.3,139.2,70.3,39.9,243.7,184.2,160.8,311.8,841.5
1886,116.3,27.2,84.6,60.8,120.7,37.1,114.3,54.2,79.8,128.5,87.8,123.4,183.4,266.2,205.6,296.1,1034.8
1887,63.2,32.2,46.5,37.9,50.7,10.4,47.1,52.9,104.3,66.7,72.0,70.7,218.8,135.1,110.4,243.0,654.6
1888,37.7,34.7,87.2,55.3,30.8,56.8,152.8,78.4,37.9,49.2,146.0,65.7,143.2,173.2,288.0,233.1,832.4
1889,44.6,51.3,77.7,74.5,75.2,16.8,74.1,121.7,54.2,126.1,37.0,62.4,161.5,227.5,212.5,217.3,815.5
1890,107.5,27.9,68.4,28.5,65.2,80.5,72.4,120.6,60.5,59.3,133.9,27.1,197.8,162.1,273.4,253.8,851.8
1891,56.0,5.8,54.2,53.1,68.3,45.9,92.0,155.9,91.1,111.8,92.3,142.4,88.9,175.6,293.8,295.2,968.8
1892,62.8,60.6,31.1,37.7,94.5,101.3,58.3,117.4,95.0,155.1,57.6,42.0,265.8,163.3,277.0,307.6,913.4
1893,43.5,108.7,25.1,14.8,53.1,47.3,88.7,76.3,71.8,75.1,72.9,94.0,194.3,93.0,212.3,219.9,771.4
1894,85.4,125.1,56.1,50.2,66.9,85.6,81.2,94.1,21.9,120.2,72.9,79.5,304.5,173.2,260.9,214.9,939.0
1895,97.2,19.7,83.8,51.7,20.6,56.1,143.5,96.3,30.3,111.9,98.5,84.2,196.4,156.1,295.8,240.7,893.7
